date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2016 Q4,48.79554347826087,9141,11760,5397.7,4654.9,7745.3,7807.4,290077,252771,39367,359521,1383879,1.0789,1047,2514
2017 Q1,43.178444444444445,8980.880000000001,9254.8,5096.3,4316.9,7783.1,7641.4,297100,257026,37585,366872,1375486,1.0648,1291.6290000000001,2184.2509999999997
2017 Q2,35.38120879120879,6832.639999999999,10983.2,5455.2,4631.7,8676,8149,303255,264763,41239,391178,1511968,1.1021,859.985,2123.77
2017 Q3,39.47728260869565,7053.139999999999,12362.6,5693.3,4870,10194,8192,300328,262583,36718,393391,1490427,1.1746,595.416,2650.215
2017 Q4,40.66586956521739,8025.5,12575.7,6058.1,5212.1,8540.1,8945.3,292351,254615,40480,367106,1415180,1.1774,958.393,2227.556
2018 Q1,33.675777777777775,8690.779999999999,9901,5658.8,4785.4,7849.6,8217,303670,263036,40399,379003,1393428,1.2292,840.0999999999999,1900.888
2018 Q2,33.93956043956044,6404.160000000001,11751.3,6050.3,5121.9,9016.9,8897.7,305551,266465,44238,398106,1516148,1.1915,440.286,2097.377
2018 Q3,40.08684782608696,6914.860000000001,13564.9,6231.4,5332.4,10835,9045.9,300369,262212,38509,389179,1477227,1.1629,417.82099999999997,3180.0239999999994
2018 Q4,51.67086956521739,8368.71,13498.4,6723.6,5782.6,9235.8,9348.6,291090,253388,41583,371719,1404786,1.1414,524.598,2851.762
2019 Q1,47.64888888888889,8783.46,11010.1,6156.1,5197.5,8788.6,8762,302150,261879,42048,386069,1396812,1.1358,733.345,2429.585
2019 Q2,41.238241758241756,7149.64,13200.5,6666.4,5645.4,9483.9,9300.3,304346,265795,46703,405694,1518887,1.1237,998.822,2051.982
2019 Q3,54.299565217391304,7199.06,14180.9,6736.1,5757.8,11443.4,9513.8,296390,258358,44389,390383,1480127,1.1119,496.158,2232.627
2019 Q4,46.64923913043478,7940.139999999999,14759.5,7218.8,6192,9640.9,9793.4,288886,250833,44562,366117,1417785,1.1071,816.623,2140.94
2020 Q1,41.55956043956044,8865.15,11300.2,6630.4,5599.6,8867.1,8594.7,292860,252560,44770,372165,1380383,1.1027,1368.0679999999998,2021.857
2020 Q2,26.197252747252747,6675.31,12525.6,6634.2,5629.9,7600.3,7042.9,264089,227882,47616,325442,1358089,1.1014,780.365,1725.36
2020 Q3,40.079891304347825,6942.32,14478.8,6994.2,5968.5,9101.7,8493.9,283129,245495,46772,357757,1441746,1.1689,660.2650000000001,1985.906
2020 Q4,49.216847826086955,8067.08,15166.6,7645.4,6554.2,9023.3,9252.8,271533,233681,47723,343249,1359229,1.1929,898.04,1381.722
2021 Q1,50.83222222222222,8956.2,12473.2,7187.7,6101.8,9559.8,9322.9,288664,248706,48225,350992,1345971,1.2048,666.6600000000001,1851.6910000000003
2021 Q2,66.24186813186813,7209.01,14365.8,7549.1,6390.7,10557,10177.4,271565,234729,53360,357504,1402136,1.2058,544.87,2297.405
2021 Q3,110.37369565217391,7355.68,17014.5,7995.4,6845.4,11747.3,10778.5,286132,249536,50699,373640,1456466,1.1788,273.74699999999996,3089.6360000000004
2021 Q4,205.6404347826087,8278.42,18324.2,8624.6,7407.3,11724.7,12117.2,275204,238167,52814,353699,1396051,1.1435,371.702,3396.5600000000004
2022 Q1,208.28666666666666,9181.56,15037.2,8236.2,6862,12823.9,12817.1,283965,245172,52092,370774,1375240,1.1217,463.37800000000004,3902.715
2022 Q2,199.84428571428572,7005.719999999999,17523.5,9202.8,7678.6,15182.7,14571.4,272310,236073,58744,380092,1424450,1.0647,228.214,3454.191
2022 Q3,377.27021739130436,7034.13,20211.6,9487.8,7961.8,15950.9,15177.9,283120,247070,53993,371748,1457387,1.007,200.063,3641.844
2022 Q4,224.2838043478261,7845.85,21680.1,10476.4,8879.1,14003.3,14714.8,278662,241569,56204,358120,1411860,1.0205,578.347,2665.874
2023 Q1,128.58599999999998,8843.8,17832.9,9569.6,8011.9,14017.4,13480.4,297766,257223,57596,387559,1438426,1.073,891.698,2435.857
