date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2017 Q4,53.79445652173913,4155.97,10227.8,5507.1,4738.4,4934.4,6089.6,140302,126125,24566,206937,739030,1.1774,2716.955,1449.027
2018 Q1,42.42711111111111,4347.61,9725.3,5775.5,5003.7,4106.3,6217.8,152024,134488,29429,196738,744333,1.2292,3272.533,2766.876
2018 Q2,42.677472527472524,3854.61,10974,6406.3,5582.1,6274.3,6741.2,156539,131946,28725,211904,766854,1.1915,3082.081,1810.5349999999999
2018 Q3,58.78858695652174,4298.0599999999995,11957.4,6195.4,5370.5,10488.4,6768.5,139778,115314,20699,223050,729080,1.1629,3324.76,1217.585
2018 Q4,63.829565217391306,4127.75,10835.1,5990.4,5180,5191,6790.7,152985,128469,24212,202866,739556,1.1414,3012.955,1497.9569999999999
2019 Q1,52.97377777777778,4181.55,10341.5,5997,5212,4464.9,6837.2,172644,146453,33594,191701,778419,1.1358,3030.909,1457.756
2019 Q2,42.4921978021978,3891.6400000000003,11536.3,6619.6,5776.6,6733.6,7410.7,153784,129238,30301,214072,776678,1.1237,2778.095,1232.7350000000001
2019 Q3,54.75478260869565,4294.37,12621.9,6435.8,5596.2,11371.3,7153.2,159009,136243,21147,230759,787046,1.1119,3333.033,948.028
2019 Q4,46.890108695652174,4074.3100000000004,11330.3,6141.4,5322.6,5602.1,6980.8,156362,133790,23326,215180,774292,1.1071,2257.63,1620.673
2020 Q1,40.11527472527472,4164.71,10477.7,6043.3,5276.3,4385.5,6505.5,165756,135449,25451,201469,771367,1.1027,2637.48,1261.173
2020 Q2,25.044395604395604,3358.4300000000003,9892.1,6228,5516.6,4023.4,5311.3,153236,129588,27069,203623,767541,1.1014,2419.641,1034.377
2020 Q3,39.74173913043478,3993.72,11103.6,6281.4,5487.9,7546.9,6171.1,159356,136361,20254,231814,776412,1.1689,2968.9979999999996,1348.182
2020 Q4,47.11608695652174,4084.8,10702,6224.7,5431.9,4965.9,6474.6,155313,132261,21765,220646,756970,1.1929,2463.906,2200.661
2021 Q1,53.498222222222225,4281.8099999999995,10712.4,6360.2,5560,4415.2,6543.8,154950,129510,24629,202910,754432,1.2048,2831.279,2822.8959999999997
2021 Q2,67.53461538461538,3912.04,11920,7000.7,6155.8,6201.2,7530.5,148848,133592,25894,219374,782051,1.2058,2772.617,1422.576
2021 Q3,112.35347826086957,4204.23,13373.5,7082.1,6200.5,11961.8,8019.9,161906,136663,22793,225743,790582,1.1788,3020.085,1183.505
2021 Q4,223.56467391304346,4289.780000000001,12411.5,7066.1,6179.4,7327.7,8641.3,169809,140667,20366,207858,784190,1.1435,2720.5879999999997,2077.457
2022 Q1,233.16211111111113,4334.39,12079.4,6656.8,5759.3,6130.2,9598.9,162529,135713,22525,213096,783947,1.1217,2845.254,1880.635
2022 Q2,213.31978021978023,3899.65,14065.9,7761.1,6788.4,9501.6,11029,154508,134808,26506,228886,798171,1.0647,2952.3050000000003,1525.034
2022 Q3,420.7586956521739,4260.1900000000005,15482.9,7838.5,6868.6,16160,12111.4,154136,133314,24557,245221,809791,1.007,3160.455,1510.0819999999999
2022 Q4,220.91815217391303,3992.94,14509.2,7951.8,6955.8,9094.9,11246.7,169774,140609,21087,216741,795531,1.0205,2960.806,2329.336
2023 Q1,130.81433333333334,4254.17,14317.4,7396,6398.2,7023.3,10350.8,163084,136149,25249,220262,803189,1.073,2564.0159999999996,2563.41
