date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,31.932555555555556,17396,34959.1,16372.3,12505.8,33271,29830.5,662059,605441,61106,573737,2305263,1.1261,3509,8251
2015 Q2,28.597802197802196,14961,38259.2,17123,13128.1,34411.4,31924.3,678269,621109,63163,585014,2385584,1.1053,2255,5464
2015 Q3,34.272608695652174,14369,39314.9,17230.5,13320.7,33411.9,31365.4,622075,569685,57663,547694,2194840,1.1117,4917,7141
2015 Q4,34.4254347826087,16692,40193.4,18617.8,14382.8,35491.5,33411.1,612342,560972,56229,543440,2190300,1.0953,5463,7805
2016 Q1,26.39120879120879,17690,37298.3,17730.5,13557.4,34681.8,30569.9,693322,638556,65615,580496,2394073,1.102,4109,7548
2016 Q2,27.037802197802197,15153,40471.3,18280.8,14012.5,36295.7,32246.4,711713,654877,68836,603210,2497230,1.1292,2680,6005
2016 Q3,30.145434782608696,14416,40378,18320.8,14102.8,33354.7,30515.9,609440,558042,57276,547746,2176117,1.1166,2985,4843
2016 Q4,40.94586956521739,17573,41453.7,19743.6,15221.7,36031.3,33497.3,626993,575222,62269,563358,2271694,1.0789,4043,6395
2017 Q1,42.24444444444445,17300.100000000002,39075.2,19093.5,14656.6,38159.4,33554.6,695373,640310,70156,584526,2451337,1.0648,4654.439,8093.367
2017 Q2,32.712637362637366,14529.36,43535.6,20435,15651.8,38936.2,34753.1,686966,632178,70157,584266,2471091,1.1021,3897.209,7058.88
2017 Q3,36.37641304347826,13837.15,44900.7,20795.7,16002.5,36351.8,33374.3,616951,567121,60024,554982,2233322,1.1746,2832.5370000000003,5542.18
2017 Q4,34.54108695652174,16457.64,47185.8,22786,17600.7,40014,37233.6,646222,594880,68424,569058,2340809,1.1774,3687.8140000000003,7414.509
2018 Q1,37.15833333333333,17584.6,44486,22450,17194.1,40211.7,35856.1,701328,646229,72815,586534,2465092,1.2292,3161.37,5417.378000000001
2018 Q2,36.777142857142856,14326.71,47850.9,23342.1,17884.8,41155,37263.6,703857,647271,73652,596804,2525823,1.1915,2280.813,5654.108
2018 Q3,54.424239130434785,14004.259999999998,48105.2,23101.3,17779.3,38475.8,36798.7,628172,576870,63925,561477,2277617,1.1629,2529.433,6490.294000000001
2018 Q4,55.45945652173913,16502.7,49643.4,24637.9,18961.7,42480.9,39854.3,663432,609710,72225,582093,2399202,1.1414,3601.795,7918.723
2019 Q1,44.48511111111111,17262.829999999998,47140.2,24081.2,18435.9,41399.7,37229.1,693566,638454,75390,595704,2501527,1.1358,3182.553,6586.468
2019 Q2,36.59087912087912,14742.84,51077,25169.1,19278.9,42556.8,37981.5,688396,631901,75049,598541,2516512,1.1237,2291.065,5104.79
2019 Q3,40.52478260869565,13970.09,51978,24786.4,19101.3,40441.2,37669.3,628273,573677,68922,569618,2311341,1.1119,2914.813,5476.2390000000005
2019 Q4,39.37108695652174,16241.27,53666.2,26695.4,20569.6,42289.9,40301.4,637326,583363,74541,571973,2369396,1.1071,2637.782,6955.3189999999995
2020 Q1,32.63318681318681,17041.73,48984.5,25323.6,19183.6,40016.5,36071.7,638340,583611,79215,555790,2353939,1.1027,4232.161,6267.064
2020 Q2,21.193626373626373,13262.259999999998,45247,23009.9,17178,31060.1,28975.2,585032,530391,74919,505079,2208107,1.1014,2824.31,4961.984
2020 Q3,37.3320652173913,13637.7,50248.8,24308.7,18741.9,37403.1,33339.2,580658,526977,71662,554072,2234247,1.1689,2598.249,5406.294
2020 Q4,43.103478260869565,16270.75,51967.8,26623,20113.5,42636.3,38129.2,598296,548972,73652,479885,2153414,1.1929,3713.3309999999997,6885.570000000001
2021 Q1,53.61811111111111,17596.3,48730.2,24541.6,18423.9,42044.7,37669.6,643753,587670,81913,501165,2300844,1.2048,3202.474,5710.206
2021 Q2,64.83956043956044,15007.310000000001,54547,27256.5,20532.6,44960.4,42121.7,653882,595831,79770,548270,2375794,1.2058,3450.138,4411.573
2021 Q3,99.57706521739131,13832.73,56014.1,27352.7,20772.9,40575.7,40669.6,575134,521905,72201,554786,2229515,1.1788,3781.237,6536.655999999999
2021 Q4,183.2042391304348,16559.98,57287.6,29582,22451.2,45687.8,45827.2,608254,554437,77861,567311,2320455,1.1435,4719.133,9569.813
2022 Q1,199.6288888888889,17083.54,56813.9,28480.2,21743.7,48113.9,46840.3,656700,601259,84460,580442,2465631,1.1217,4821.397,7961.7029999999995
2022 Q2,196.03527472527472,14520.22,62373.4,30227.4,23151.4,52469,52716.2,669306,613444,82941,603022,2483698,1.0647,4278.835000000001,6402.959999999999
2022 Q3,387.1841304347826,13417.04,64842.9,30160.1,23176,51250.8,52150.3,590378,538837,75425,563235,2269157,1.007,3329.23,7521.249
2022 Q4,205.27445652173913,15515.239999999998,66884.5,33168.7,25505.7,55209.8,55629.9,609660,557496,80333,564264,2341718,1.0205,4296.611,8369
2023 Q1,127.88588888888889,16173.18,67351.9,32797.3,24855.2,57513.7,52211.2,663517,610797,90083,583060,2523226,1.073,3891.0730000000003,6678.7609999999995
