date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,27.912222222222223,9034,57847,34514.5,31971.8,37727.7,32679,120374,110169,37331,225725,976435,1.1261,3047,3071
2015 Q2,22.841868131868132,7806,59780,36171.2,33509.7,37898,33132.5,120724,110439,37681,234262,1005086,1.1053,3862,2345
2015 Q3,19.717065217391305,7813,58864.6,34347.5,31733.2,38289.2,33452.5,116282,106341,37480,238728,980974,1.1117,4920,1751
2015 Q4,23.718260869565217,8942,60429.4,35616.1,32922,37387.3,33504.8,124535,114035,39371,241214,1018326,1.0953,3815,2566
2016 Q1,22.60934065934066,9291,58613.4,35553,32772.6,35574,31384.6,121692,111338,38418,234192,993104,1.102,3421,2872
2016 Q2,25.467472527472527,7923,62184.2,37603.8,34651.2,37991.6,33213.6,124276,113721,38898,245379,1029763,1.1292,4257,1951
2016 Q3,28.678043478260868,7733,60964.2,35411.9,32566.8,37544.4,32952.7,118281,108119,38785,249731,1000207,1.1166,4413,2037
2016 Q4,34.287282608695655,9034,63922.6,36922.8,34014.9,40148.2,34785.3,127361,116648,40250,251542,1038604,1.0789,2886,3059
2017 Q1,30.829444444444444,8898.93,61939.2,36737.7,33846.4,39492.7,34648.1,124349,114078,38976,240351,1010022,1.0648,2875.7659999999996,3198.1039999999994
2017 Q2,28.623406593406592,7696.92,65354.4,38693.7,35712.2,40791.7,34918.7,123139,112970,39183,248385,1035047,1.1021,4012.126,2732.3469999999998
2017 Q3,33.50815217391305,7601.76,63637.6,36526.2,33690.2,41205.4,35182.5,118668,109022,38901,251340,1008829,1.1746,4555.782,1631.096
2017 Q4,30.378478260869564,8887.380000000001,65414,38402,35473.6,40881.1,36467.8,127126,116765,40320,252489,1045764,1.1774,3774.434,3093.844
2018 Q1,36.537444444444446,9238.84,62859.2,37876.6,34952.6,40019.4,36301.5,121474,111704,38804,237431,1003166,1.2292,3496.198,3792.8059999999996
2018 Q2,39.4354945054945,7683.98,66118.9,40018.1,36982.3,42195.6,39288.5,121748,111842,39145,247050,1035184,1.1915,4030.289,1773.183
2018 Q3,53.15695652173913,7565.5,65294.4,37634.3,34713.5,44118.2,37839.7,117470,107867,38972,250283,1007211,1.1629,4197.6759999999995,1681.766
2018 Q4,50.205326086956525,8762.75,68050.1,39347.1,36344.9,44659.7,38989.6,126961,116507,40506,250972,1045617,1.1414,3909.4460000000004,3161.511
2019 Q1,42.82855555555556,8893.119999999999,64555.6,39215.1,36165.5,42990.1,39271.3,124649,114245,39624,238136,1013410,1.1358,3133.923,3447.576
2019 Q2,36.761648351648354,7735.45,68075,41122,37926.2,45447.2,39348.4,123956,113273,40006,246943,1038871,1.1237,4203.1669999999995,2059.235
2019 Q3,37.86891304347826,7727.84,67193,38900.9,35794.6,46752.5,39985.5,120240,109975,40055,251487,1015996,1.1119,4415.763,1543.2820000000002
2019 Q4,38.692608695652176,8801.72,69603.1,40796,37545.9,46338.4,41040.9,127550,116737,41945,253142,1053397,1.1071,3574.0460000000003,2485.049
2020 Q1,21.016153846153845,9105.99,66995.3,40328.5,37048.8,44638.7,39365.5,124038,113414,40752,234841,1008824,1.1027,4068.5009999999997,4218.213
2020 Q2,20.087142857142858,7717.030000000001,65451.6,41245.6,37853,40188.4,34614.4,116203,105643,39339,209191,967656,1.1014,4521.479,2212.685
2020 Q3,33.59467391304348,7243.75,67775.7,39382,36121,42755.9,36866.3,113974,103661,40291,242027,997877,1.1689,5653.336,3146.279
2020 Q4,30.296521739130434,8648.56,70631.5,41714.9,38277,43660.9,40613.3,123762,112794,42024,240232,1023885,1.1929,4648.022,3116.9809999999998
2021 Q1,48.699777777777776,9867.18,66948,41037.9,37691.4,45249.8,39422.8,122171,111520,41952,213378,985393,1.2048,4733.679,4176.911
2021 Q2,58.73626373626374,8204.24,72386.6,44099.1,40527.3,48010.5,42785.8,123991,113037,43118,238592,1045469,1.2058,5348.032,3575.9049999999997
2021 Q3,95.92271739130435,7857.789999999999,73577.5,41847.7,38472.5,51333.4,44586.9,119865,109197,43727,253690,1035653,1.1788,4951.022,2843.4610000000002
2021 Q4,147.7013043478261,9548.23,79645.2,45145.4,41522.9,56286.6,50054,130888,119335,46173,257992,1084529,1.1435,5038.896,4652.718
2022 Q1,153.65455555555556,9126.54,76432.4,44849.8,41242.5,59192.1,50716.3,128403,116964,45316,244760,1063297,1.1217,4312.338,5195.326
2022 Q2,180.64263736263734,7657.370000000001,83485.5,47275.2,43505.6,64981,55273.6,128123,116624,46355,259255,1093931,1.0647,5204.9349999999995,4057.7960000000003
2022 Q3,350.4020652173913,7228.620000000001,84170.5,44587.3,41002.4,71142.5,57060.4,123619,112365,46563,263997,1071989,1.007,5280.371,4109.611
2022 Q4,176.35934782608697,8320.04,86741.1,47784.5,43980.7,65368.1,57663.1,133737,121515,48411,264050,1109863,1.0205,3954.563,4026.783
2023 Q1,104.51266666666666,8789.5,79947.5,46988.3,43220.5,62655.3,52555.4,125616,113348,46759,243501,1076017,1.073,4265.662,4550.122
