date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,32.489222222222224,2363,4142.6,2335,1758.9,3769.9,3622.1,62287,55940,14135,75570,288692,1.1261,1296,1701
2015 Q2,30.034725274725275,1955,4534.6,2414.3,1813,4102.7,3835.6,62821,56664,12264,68563,288589,1.1053,1532,1636
2015 Q3,30.30445652173913,1867,4548.1,2362.4,1779.7,4054.8,3800.6,62530,56405,11920,69789,282679,1.1117,1365,1586
2015 Q4,31.524782608695652,2187,4665.4,2649.4,1988.3,4048.6,3906.1,61524,54152,14513,74427,293413,1.0953,1333,1495
2016 Q1,31.845384615384617,2422,4403.5,2480.2,1865.7,3785.7,3715.7,65802,58533,15908,69497,288429,1.102,1491,1572
2016 Q2,31.374615384615385,1859,4719.6,2643,1988.5,4344.4,4149.7,62547,55754,13149,74381,297039,1.1292,1191,1348
2016 Q3,31.572934782608694,1794,4698.1,2525.6,1900.3,4310.4,3934.9,61400,55873,11341,76861,283113,1.1166,519,1529
2016 Q4,37.43858695652174,2299,4924.5,2730.8,2055.7,4307,4162.9,62888,58032,10908,78133,290362,1.0789,372,1164
2017 Q1,32.946555555555555,2377,4732.4,2613.4,1965,4204,4019.1,64701,59345,14766,79758,301200,1.0648,512,1305
2017 Q2,30.824395604395605,1934,5247,2894.6,2181.4,4584.9,4348.4,64101,56347,15019,76648,296103,1.1021,455,1306
2017 Q3,35.96869565217391,1853.3,5187.7,2777.5,2096.6,4593.7,4242.4,64519,57858,14707,78904,289376,1.1746,645,1247
2017 Q4,33.045434782608694,2240.1,5509.1,3032.1,2280,4685.6,4491.6,71038,63009,14690,69375,304383,1.1774,558,1138
2018 Q1,41.884,2545.2,5112.5,2843.6,2127.8,4451.5,4260.7,68174,60687,11407,74330,290714,1.2292,627,1180
2018 Q2,42.08054945054945,2045.04,5632.8,3140.4,2367.3,5002,4714.8,65547,58563,12573,77114,301273,1.1915,744,1199
2018 Q3,53.481521739130436,2011,5699,3105.2,2340.3,4851.2,4667.3,56970,50863,11755,74393,273947,1.1629,620,1334
2018 Q4,50.65086956521739,2336.2,6114.1,3375.4,2548.3,4969.1,4923.7,65804,58198,15038,71839,294655,1.1414,1062,1236.7
2019 Q1,47.72611111111111,2463,5574.6,3192.4,2405.1,4789.9,4499.7,64594,57988,14960,73468,294747,1.1358,810,760
2019 Q2,42.64131868131868,1956.05,6107.6,3548.6,2675.1,5291,4960.2,59438,53613,14084,74932,297418,1.1237,1371,817
2019 Q3,48.93554347826087,1862.9,6101.3,3298.2,2493.9,5298.2,4988.6,59967,53980,13420,70946,276264,1.1119,1330,643
2019 Q4,44.13260869565217,2314.76,6336.5,3471.8,2627.7,5134.7,4950.6,65425,60113,13323,75143,298051,1.1071,1351,483
2020 Q1,27.624725274725275,2407.44,5771.2,3361.1,2527.6,4781.2,4363.8,60028,54082,12642,65831,282285,1.1027,1914,695
2020 Q2,28.77879120879121,1910.7,5655.4,3408,2554.4,4156,3809.5,56070,50622,13712,59207,262770,1.1014,1855,868
2020 Q3,36.8525,1900.7799999999997,6123.6,3480.6,2616.3,4801.3,4750.8,56940,51708,13740,68051,269118,1.1689,1691,1188
2020 Q4,41.383478260869566,2432.35,6565.5,3716.6,2784.9,5287.5,6079.7,60426,54453,13987,65977,282471,1.1929,1907,971
2021 Q1,51.831,2639.56,5930.1,3421.9,2569.4,5107.2,5395.3,63380,56890,14565,62957,289340,1.2048,1646,548
2021 Q2,54.55362637362637,2007.02,6689.4,3892.3,2936.3,5899,6424.6,61769,54804,16856,66110,291727,1.2058,1795,1038
2021 Q3,97.47141304347826,1928.42,7150.9,3843,2894.8,6266,6164.6,65780,59660,14793,71542,303505,1.1788,2018,1587
2021 Q4,141.95010869565218,2504.58,7795.9,4143.5,3115,7348.1,6750.5,65138,58425,15583,70545,300757,1.1435,1874,1530
2022 Q1,133.46777777777777,2471.87,7026.9,3847.7,2891.9,6997.7,7041.1,66316,58650,15416,71157,307463,1.1217,2022,1515
2022 Q2,142.3235164835165,2026.35,7856.8,4565.5,3435.8,7743.8,7978.7,63912,58332,16613,75232,303853,1.0647,1716,1520
2022 Q3,275.0930434782609,1854.2399999999998,8155,4366.4,3285.9,8111.3,7979.7,68033,61894,18911,74623,316429,1.007,1753,1737
2022 Q4,218.80630434782609,2232.16,8799,4645.9,3499.2,8054.9,8135.6,66871,60392,19923,69554,314306,1.0205,1692,1400
2023 Q1,99.40855555555555,2334,7727.7,4351.4,3274.5,7294.1,7025.6,63253,57010,17647,72221,318268,1.073,1869,1027
