date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,33.108333333333334,124754,661422,362841,296853,345323,287563,3046242,2818296,471358,3397372,15274248,1.1261,7600,23064
2015 Q2,28.371868131868133,111805,668104,382934,313899,355774,293819,2791237,2582794,435064,3153919,14242676,1.1053,9426,16979
2015 Q3,32.837065217391306,114496,689520,385846,317296,356547,304250,3041677,2815494,469477,3413348,15430073,1.1117,10200,20126
2015 Q4,33.18739130434783,122056,702974,430355,354550,362262,304428,3094291,2864430,475350,3447114,15464844,1.0953,9781,25122
2016 Q1,25.175934065934065,123723,683924,378683,310654,348038,290472,3006427,2784954,481428,3395488,15299652,1.102,8025,23972
2016 Q2,24.797252747252745,112834,703128,396333,325413,366828,298485,2868659,2654807,441545,3222299,14561543,1.1292,8916,16164
2016 Q3,28.26695652173913,110418,710932,400386,329708,358121,306518,3042750,2816641,483587,3443551,15592517,1.1166,5896,16927
2016 Q4,37.602065217391306,119354,724459,447326,369152,371290,317556,3035728,2809843,487738,3437725,15479464,1.0789,5502,21800
2017 Q1,41.312333333333335,127275.59999999999,716540,394718,323761,380279,318971,3115037,2883807,497898,3464295,15682074,1.0648,8251.828,22398.736
2017 Q2,29.787142857142857,116677.45999999999,722090,413707,339198,383340,324228,2802702,2593120,457324,3188597,14496453,1.1021,6808.233,18334.082000000002
2017 Q3,32.70239130434783,118145.33,744085,417928,344202,382364,328931,3040545,2813017,493665,3462078,15720705,1.1746,6934.9710000000005,15809.723
2017 Q4,33.047391304347826,125310.35999999999,761359,466743,384934,394909,337157,3019407,2792287,497021,3451641,15571312,1.1774,5846.6900000000005,23758.945
2018 Q1,35.51244444444445,127858.2,740086,412892,339459,393772,331554,3072828,2842505,501051,3458047,15633588,1.2292,6561.672,22872.265
2018 Q2,35.97846153846154,117561.42000000001,751329,432468,355710,401652,339896,2875770,2660198,467828,3249697,14749158,1.1915,9969.351,16137.842
2018 Q3,53.50836956521739,119700.6,759293,438725,362205,393557,355753,3066934,2837197,504578,3493192,15806772,1.1629,7438.134000000001,18263.563000000002
2018 Q4,52.5804347826087,123082.85,782028,487177,402654,403175,359733,3083591,2852493,514719,3509961,15755950,1.1414,7732.202,22913.657
2019 Q1,40.885666666666665,124530.61,765359,433361,354715,406484,351444,3125357,2890538,523731,3514412,15874214,1.1358,5959.267,23582.344
2019 Q2,35.792637362637365,114943.86000000002,768852,453663,371614,401528,351801,2831281,2617434,481809,3223247,14648471,1.1237,12001.857,14458.864999999998
2019 Q3,37.45032608695652,114411.28,791139,460203,378740,405497,359961,3093423,2858751,524284,3501136,15940994,1.1119,13973.662,14216.853000000001
2019 Q4,36.59347826086957,119048.84,804367,506047,416474,407448,361414,3018553,2787957,525725,3477680,15663272,1.1071,8188.627,20534.067000000003
2020 Q1,26.57065934065934,121553.06999999999,782764,446070,365009,395216,345612,3053587,2817291,534238,3425141,15635242,1.1027,10322.379,20973.472999999998
2020 Q2,20.264505494505496,102280.43,708513,438915,355226,310583,277571,2554437,2340636,471474,2797706,13463081,1.1014,15408.111,12642.222
2020 Q3,36.13326086956522,109599.69999999998,785627,455914,373405,364623,314988,2812728,2584995,502805,3201975,14910221,1.1689,12534.421999999999,13478.722000000002
2020 Q4,38.765108695652174,117761.39000000001,811059,507891,416593,394360,334955,2958667,2720738,530390,3225279,15240212,1.1929,9769.157,19820.125
2021 Q1,49.58922222222222,120685.31999999999,784210,443033,360457,398471,338197,2962576,2727387,548603,3068771,15127626,1.2048,12220.623,20079.99
2021 Q2,60.29615384615385,113729.40999999999,795265,461598,376173,414050,360797,2747305,2528378,509814,2965433,14375934,1.2058,13456.752,14456.17
2021 Q3,97.14554347826086,112646.21,827763,477625,392629,419682,379075,2860400,2632793,533881,3288171,15276562,1.1788,14192.589,14670.456000000002
2021 Q4,178.94445652173914,121037.53,851329,531453,437278,461720,424301,2954833,2718425,554223,3380333,15500529,1.1435,11854.827,21098.989
2022 Q1,184.60444444444445,121896.87,846448,472886,387246,463598,428006,2964908,2729350,573735,3361831,15609495,1.1217,10480.925,23468.364
2022 Q2,187.1231868131868,112289,855067,486508,398138,485722,466097,2692543,2478409,525227,3137418,14465053,1.0647,12868.925,16083.711
2022 Q3,381.82923913043476,109713.4,884570,497840,409595,499541,505685,2905662,2673956,569365,3388902,15593630,1.007,12950.129,15982.099
2022 Q4,196.85782608695652,109711.55,916152,558827,461304,505761,478906,2894479,2662593,575124,3372964,15410108,1.0205,12963.414,20756.117
2023 Q1,121.91777777777777,114152.12999999999,925807,502832,413935,492581,446090,2999974,2759831,590723,3424901,15747434,1.073,12139.068,21293.226000000002
