date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,58.230777777777774,14953,36279.7,14119.4,10814.8,10822.4,15136.9,194711,160790,41565,721487,2094975,1.1261,3301,64
2015 Q2,48.565714285714286,12892,39181.3,15350,11828.4,14714.2,15302.9,196578,163429,46155,785388,2235527,1.1053,2943,116
2015 Q3,51.37086956521739,15410,40164.8,15099.5,11657.4,19100,13177.3,204919,169837,44934,833231,2237695,1.1117,2691,823
2015 Q4,49.64641304347826,13156,40209.9,17201.3,13308.2,12025.6,14850,200489,164929,45550,804628,2255283,1.0953,2146,469
2016 Q1,44.480659340659344,13888,35046.5,14763.4,11394.2,9805.2,13400.2,208713,173693,44732,792946,2216650,1.102,2901,179
2016 Q2,40.54010989010989,13141,38061.3,16185.4,12540.6,13366.3,14029.2,215201,179942,46740,863824,2347799,1.1292,2688,80
2016 Q3,40.53967391304348,15676,39965.1,15257.5,11833.4,18821.7,14311.3,212396,176484,44015,916954,2330779,1.1166,2773,283
2016 Q4,45.826195652173915,14120,39123.7,16785.5,13035.3,12601.6,15374.4,207406,172829,46509,846957,2264691,1.0789,1472,496
2017 Q1,59.09466666666666,14524.780000000002,35694,15090.6,11598.7,11790.4,16091.1,209854,173839,44912,776084,2178086,1.0648,2019.98,666.58
2017 Q2,47.20923076923077,12854.91,38529.6,16514.1,12750,15513.5,15826.4,211828,175477,46594,868868,2333281,1.1021,2398.79,325
2017 Q3,52.044021739130436,15601.189999999999,41426.1,15260.2,11767,20671.5,15737.4,205320,169381,42868,904690,2324031,1.1746,2503.09,777
2017 Q4,60.40489130434783,13504.91,38694.5,16988.3,13131.6,14001.2,16994.1,209192,174736,45847,841358,2297383,1.1774,1774.25,690.1800000000001
2018 Q1,49.720333333333336,13942.67,35649.2,15468.5,11848.6,12909.8,17559.7,212947,179032,47954,800527,2246997,1.2292,2264.4500000000003,490.57
2018 Q2,55.824615384615385,12866.380000000001,39181,17156.7,13192.5,17721.4,18519.4,218551,184902,51112,931041,2459609,1.1915,2136.66,301.77
2018 Q3,65.09108695652174,15528.97,41573.8,15862.7,12187.8,23127.9,18564.7,217425,183746,49640,1002540,2497286,1.1629,2476.8900000000003,612.3
2018 Q4,70.67326086956521,13656,39207,17411.8,13390.4,16255.7,19256.9,215985,183530,50794,898723,2416666,1.1414,1827.56,782.04
2019 Q1,68.00866666666667,14557.04,35898.6,15844.1,12184.3,13753.6,18500.8,215836,184854,53224,851122,2275370,1.1358,2593.3830000000003,502.09200000000004
2019 Q2,65.48307692307692,13255.95,40072.3,17756.2,13690.1,18555.8,19196.7,222035,189794,53704,970178,2479080,1.1237,2954.999,145.733
2019 Q3,62.39,15671.439999999999,43160.7,16424.1,12686.9,24956.1,19397.4,219318,186385,49506,1009710,2457993,1.1119,2706.951,247.28200000000004
2019 Q4,59.49173913043478,13061.02,39716.9,17675.9,13662.5,16276.5,19498.8,221014,188522,47601,924266,2400338,1.1071,2811.3059999999996,227.922
2020 Q1,50.4121978021978,14290.440000000002,35551.3,16022.5,12440.5,13459,18075.1,214259,182352,48105,792830,2152685,1.1027,3120.279,39.803
2020 Q2,32.29934065934066,11564.22,33811.6,16486.7,12788.9,11260,14448.3,188547,157631,42842,585593,1819634,1.1014,2304.4320000000002,134.30700000000002
2020 Q3,44.60510869565218,14897.350000000002,38679.5,16032.1,12484.2,14906.9,16568.9,215988,183892,47855,970095,2427747,1.1689,2632,330.344
2020 Q4,52.969565217391306,12679.39,37045.3,17379.7,13513.2,13284.8,16544.7,203954,171804,50638,725711,2125944,1.1929,1771.5259999999998,462.55800000000005
2021 Q1,53.609,13396.89,35083.9,15638.8,12009.5,13527.7,17899.2,210814,180185,49868,629839,1990070,1.2048,1784.797,894.63
2021 Q2,70.22802197802197,12486.369999999999,38138.8,17346.6,13347.7,16390,20788.4,218421,187153,54478,906311,2416974,1.2058,1854.5349999999999,556.755
2021 Q3,119.28717391304347,16110.810000000001,43871.9,17317.8,13383.4,24459.6,23429.3,217489,187502,52826,1046706,2491953,1.1788,2226.129,774.2220000000001
2021 Q4,220.83673913043478,12912.18,41573.3,19118.5,14754.2,19880.4,26153.1,229815,197957,57718,932524,2476894,1.1435,1715.5950000000003,1672.083
2022 Q1,237.9802222222222,13709.369999999999,40516,16972.6,13087.6,18448.4,26660.4,221671,190635,53285,867879,2358010,1.1217,2180.4809999999998,1007.609
2022 Q2,237.46637362637364,12020.2,44793.6,18391.6,14227.9,26325,30600.7,230293,196878,58957,981566,2534581,1.0647,2269.802,658.8290000000001
2022 Q3,396.9521739130435,14021.63,50587.8,18061.9,14057.8,32637.8,31287.4,223263,190573,53699,1013001,2493600,1.007,1335.525,1760.8890000000001
2022 Q4,245.84858695652173,11492.05,46775.6,19719.6,15333.5,23976.9,32484.8,238381,205519,56431,906391,2514059,1.0205,1965.071,876.0389999999999
2023 Q1,156.90755555555558,12304.439999999999,44147.5,18138.1,14063.5,21051.5,27454.2,236677,201377,56491,841655,2414992,1.073,2755.1980000000003,560.249
