date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,39.63777777777778,10695,20944.5,11198,8968.8,23495.9,21088.5,384503,350680,54724,453289,1848490,1.1261,4801,1754
2015 Q2,32.52912087912088,9882,23729.6,11969,9587.4,24721.9,22780.3,374652,336365,55264,445703,1902897,1.1053,5028,1014
2015 Q3,47.480326086956524,10292,24215.9,11431,9169.2,24998.4,22642.3,379367,340658,54754,441371,1929689,1.1117,5197,1644
2015 Q4,42.65228260869565,10717,26127.7,12488,10009.8,25513.4,23497.2,362267,328731,53638,432765,1848879,1.0953,4910,1835
2016 Q1,31.895934065934064,10788,21495.1,11781.1,9387.3,23689.1,21452.2,394646,361937,57937,467369,1920516,1.102,4648,1690
2016 Q2,29.67967032967033,10155,24416.1,12288.2,9851.3,25646.6,22813.9,403970,366144,61240,477851,2060573,1.1292,4428,1058
2016 Q3,34.86641304347826,10197,25388.5,12244,9810.8,25587.1,22733.3,399173,360953,59153,459217,2004565,1.1166,4135,1386
2016 Q4,45.185108695652175,11064,27348,13477.7,10731.5,25531.1,23688.2,370455,337336,55513,442336,1887994,1.0789,4741,1106
2017 Q1,58.324777777777776,10202.9,23378.6,12821.6,10624.2,26450.5,24699.1,419821,386369,62288,483464,2011267,1.0648,5384.675,1812.13
2017 Q2,42.11494505494505,9694.45,26497.4,13639.2,11301.7,27765,24994.7,407817,369099,63417,470928,2040693,1.1021,5146.0779999999995,1886.8519999999999
2017 Q3,51.08652173913043,9837.57,27991.6,13553.2,11244.3,27393.6,25153.5,416903,375718,62429,459516,2016979,1.1746,4799.317,1538.423
2017 Q4,49.95478260869565,9936.3,29839.2,14508.5,12028,27518.2,25880.1,386446,351845,58925,437921,1897687,1.1774,4472.491,1688.917
2018 Q1,39.383,10542.81,25495.2,14098.7,11877.9,27493.8,25797.7,425195,393652,66843,487616,2021430,1.2292,4776.2,791.99
2018 Q2,41.80582417582418,9836.93,28357.8,14305.2,12076.8,29270.7,27198,424250,385527,66015,476897,2084114,1.1915,4699.2080000000005,551.229
2018 Q3,58.06858695652174,10003.080000000002,29158.2,13819.5,11650.5,27807.8,26919.8,423106,382627,65099,456774,2022340,1.1629,4232.9490000000005,1220.136
2018 Q4,64.4179347826087,10358.2,31785.9,15165.4,12804.9,29380.3,28231,394923,359422,63131,444149,1939019,1.1414,4904.938,1701.7150000000001
2019 Q1,54.30455555555555,10586.06,27561.2,14751.8,12513.8,29289.4,28159.8,434442,401065,68022,496537,2048895,1.1358,5547.238,1839.524
2019 Q2,43.29054945054945,10085.74,30742.1,15241.2,12941,30132.7,28670.6,422439,382714,68804,482682,2076749,1.1237,5058.415,1419.9569999999999
2019 Q3,56.475108695652175,10092.85,31546.8,14739.8,12566.7,30319.2,29579.8,427706,386661,69576,468597,2043846,1.1119,4701.314,1995.881
2019 Q4,47.35173913043478,10434.33,33819.8,15884.2,13557.6,29758,29678.3,397019,360714,67423,454594,1950901,1.1071,4546.923,2013.178
2020 Q1,40.8721978021978,10960.539999999999,27882.2,14448.6,12493,28861.1,27892.7,412328,380203,72513,488565,2056504,1.1027,5451.405,2125.032
2020 Q2,26.274945054945054,9208.92,26309,13718.8,11883,22040.8,22461.2,342988,307890,67306,387637,1802330,1.1014,4225.526,1790.077
2020 Q3,39.94869565217391,10079.43,29586,13823.7,12011.7,27922.3,26601.6,390296,350914,72838,426335,1956867,1.1689,4394.659,1777.255
2020 Q4,48.808152173913044,10947.82,32477.3,14978.4,13022,29692.7,28899,376689,341944,71537,426509,1910985,1.1929,5104.4130000000005,1805.841
2021 Q1,54.20811111111111,11137.36,26351.3,14297.7,12507.4,29543.2,27954.3,404005,372406,77254,439076,1963552,1.2048,4583.147,1214.81
2021 Q2,66.8732967032967,10473.390000000001,32571.8,15439.6,13522.5,30831.5,30022.7,407222,370243,79532,446017,2035919,1.2058,4236.472,1518.466
2021 Q3,112.87369565217392,10632.75,33594,15117.8,13242.5,30595.7,31105.7,398675,359068,78861,445636,1995690,1.1788,5084.9220000000005,2188.29
2021 Q4,219.67521739130436,11413.43,37931.3,16317.7,14300.3,32698.1,34099.7,384373,347744,77992,446258,1964655,1.1435,6062.481000000001,2290.886
2022 Q1,229.276,11554.89,31268,17165.4,15326,36037.8,37199.8,411214,378519,83973,473807,2054677,1.1217,5883.983,2375.585
2022 Q2,210.4,10512.18,35283.9,16069.8,14343.2,37952.7,38807.5,412487,374562,82707,468137,2086784,1.0647,4654.406,2003.872
2022 Q3,419.4116304347826,10265.48,36511.9,15487.9,13846.6,39837.6,42255.5,407461,366550,83172,466927,2047106,1.007,5069.258,2197.2529999999997
2022 Q4,225.93119565217393,10541.84,40993.7,16922.7,15112.7,39802.4,42230.8,385724,349532,78509,450380,1965563,1.0205,5980.8859999999995,2861.1099999999997
2023 Q1,135.75855555555555,10833.029999999999,34569.6,17925.9,16044.4,40846.6,39623.5,417317,383829,86584,483862,2079312,1.073,5457.914,2092.824
