date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,54.06911111111111,7173,59309.4,18978.5,15806.3,74564.5,53558.5,120442,106950,47979,206171,851535,1.1261,556,228
2015 Q2,50.362307692307695,6402,59492.3,19142.1,15905.1,78299.1,59458.1,121600,108165,48066,215733,877157,1.1053,511,233
2015 Q3,48.069456521739134,6308,61703.2,19315.3,16090.9,82073.4,59780.7,123978,109441,48396,216220,865966,1.1117,302,283
2015 Q4,42.17728260869565,7074,63675.7,19965.1,16607.7,86146.8,72648,114528,102613,46785,219392,859250,1.0953,383,335
2016 Q1,36.034615384615385,7330,60050.1,20138.7,16812.5,78870.1,66138.6,125702,111788,50728,220211,894739,1.102,313,356
2016 Q2,36.064945054945056,6558,59733.6,20357.6,16938.4,80230.8,72708,131786,119080,49961,223343,926604,1.1292,336,384
2016 Q3,34.94586956521739,6471,63089.8,20660.8,17170.8,82627.5,68641.5,132293,119133,50547,226401,905260,1.1166,136,556
2016 Q4,49.93054347826087,7229,68020.2,21298.2,17688.6,87099.5,79044,126958,115038,49137,222646,903913,1.0789,85,287
2017 Q1,49.68844444444444,7455.200000000001,65067.4,21712.5,18131.9,84451.8,62692.4,135101,120090,54812,227538,940178,1.0648,212.59400000000002,460.644
2017 Q2,40.04945054945055,6636.04,63321.1,21842.1,18128.3,86916.1,101134.6,131406,116834,53290,226918,934873,1.1021,220.715,283.96999999999997
2017 Q3,42.19641304347826,6605.290000000001,69938.9,21980,18305.4,89124.7,60229.6,139990,122961,56782,233482,953697,1.1746,230.651,599.098
2017 Q4,50.88217391304348,7460.470000000001,76495.8,22729.5,18832.6,99851.2,70690.5,132860,117773,53698,233121,953710,1.1774,452.448,451.199
2018 Q1,56.056666666666665,7614.4,72973,22789.3,19100.7,91973.7,62860.7,132993,117805,57073,227370,958468,1.2292,382.80899999999997,346.09
2018 Q2,54.87813186813187,6839.37,73112.7,23333.4,19506,98656.9,70602,137204,121627,56163,240778,1005042,1.1915,318.66,487.167
2018 Q3,64.49315217391305,6730.38,80030.6,23498,19704.2,100916.6,72331.7,137123,122552,59881,241558,973575,1.1629,384.74,463.15
2018 Q4,72.23565217391304,7523.679999999999,80145,24203.4,20246.2,109506.1,102190.9,131201,116675,53622,246437,984596,1.1414,535.3100000000001,352.842
2019 Q1,61.24666666666667,7573.48,79322.7,24903.1,20728,106896.1,76010.7,139829,123364,56946,241614,1010926,1.1358,603.101,381.88300000000004
2019 Q2,46.715164835164835,6956.38,80298.9,25167.2,21043.3,110224.9,121871.9,138720,120319,57989,244940,1020397,1.1237,414.599,399.095
2019 Q3,46.68228260869565,6704.87,87189.2,24867.1,20743.6,115276.1,82746.5,142188,126000,63123,241149,1000565,1.1119,556.559,221.94
2019 Q4,46.200434782608696,7749.74,87768.2,26036.4,21813.8,123755.5,163003.9,133875,119129,59990,240231,1006609,1.1071,523.226,478.545
2020 Q1,36.54824175824176,7525.29,89031.4,26472.4,22143.9,118474.2,142211.1,136345,121971,61228,227145,991299,1.1027,523.533,492.571
2020 Q2,25.814505494505493,6170.960000000001,79851.6,23303.3,19594.5,113429.2,78773.4,122885,109434,63103,140823,791856,1.1014,433.097,414.83799999999997
2020 Q3,37.02804347826087,6573.26,95128.9,24586.3,20610.5,120948.7,80981.4,141205,124200,61097,215139,945317,1.1689,335.553,482.98299999999995
2020 Q4,50.917391304347824,7456.620000000001,88043.5,26950.9,22614.1,144277.5,124665.3,137818,124794,62409,192286,919802,1.1929,468.92900000000003,522.573
2021 Q1,70.00311111111111,7503.58,95364.4,26067.4,21660,131026.3,83478.1,141852,129706,68970,166000,892150,1.2048,477.86300000000006,311.294
2021 Q2,92.46989010989012,6818.93,95035.3,27268.4,22821.8,138513.8,93173.4,148208,133854,66416,196668,985836,1.2058,786.745,102.40400000000001
2021 Q3,156.3513043478261,6823.950000000001,108255.2,28205.5,23647.8,145697.4,95728.9,138600,123437,66864,229192,1001352,1.1788,816.595,86.316
2021 Q4,224.57989130434783,7622.6500000000005,102792.5,29652.3,24910,157750.5,132722.1,142614,128329,73696,213988,1008277,1.1435,365.396,363.46799999999996
2022 Q1,224.87877777777777,7678.27,108563.9,30108.5,25106.9,156429.1,103202.4,147292,131285,78018,225025,1050595,1.1217,349.669,357.496
2022 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022 Q4,154.68387096774194,7959.51,125341.5,32197.6,27131.8,186496.2,139224.5,143939,126191,72052,234704,1048103,1.0205,397.986,416.979
2023 Q1,159.18714285714285,7992.37,113445.8,31887.5,26724.6,172102.2,117484.8,152497,136157,78111,235986,1090927,1.073,672.7280000000001,183.75
