date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,51.937777777777775,78805,353699,148017.4,108043.1,114701.7,108279.5,1810871,1674166,257340,2820770,10356370,1.1261,14636,1137
2015 Q2,47.91538461538462,75345,370836.4,162946.6,119326.6,128164.7,114053.3,1848308,1708797,269165,2938673,10799076,1.1053,10755,1313
2015 Q3,56.71869565217391,83684,371055,152433,111661.1,123793.1,108685.1,1675600,1541524,253042,2870571,10243639,1.1117,11195,1230
2015 Q4,52.88021739130435,77400,392458.6,188186.2,137933.3,125245.4,110998.3,1854357,1711833,271478,2934248,10706729,1.0953,14260,785
2016 Q1,39.61571428571428,78489,363956.8,152077.7,111858.4,115375.1,106969.4,1855186,1715121,268867,2876992,10603452,1.102,14463,1533
2016 Q2,34.17131868131868,73906,381778.3,167673.6,123425.1,128163.7,111591.8,1914411,1768888,278572,3057855,11080434,1.1292,11241,1615
2016 Q3,40.96597826086956,79991,379119.5,155670.4,114492.5,125462.4,108100.7,1691012,1555785,255885,2898882,10327413,1.1166,10535,1556
2016 Q4,55.883043478260866,77865,397899.2,191799.8,140876.2,128337.3,114916.1,1849417,1706466,274466,2966770,10770646,1.0789,6936,1445
2017 Q1,57.38688888888889,80121,372815.7,156789.9,115122.3,126279.2,118651.9,1893158,1749155,281704,2942496,10767184,1.0648,10796,1590
2017 Q2,44.892857142857146,77307,388441.6,170711.8,125609.3,136115.2,121892.9,1900978,1757767,276798,3115897,11075388,1.1021,10604,1496
2017 Q3,51.603478260869565,83069,387752.3,160329.3,117923.9,134023.4,117679.1,1716246,1579499,260821,2989257,10440469,1.1746,11060,1227
2017 Q4,61.80467391304348,79941,408786.2,196222.9,144071.7,137302,125772.3,1881850,1738139,281112,3018291,10933658,1.1774,10435,821
2018 Q1,54.178,81127,381935.7,160572.2,117703.2,130119.8,123946.6,1905551,1760891,279685,2969556,10804202,1.2292,14242,705
2018 Q2,53.3967032967033,77103,398941.6,178447,130783.3,142923.9,129124.6,1946378,1799981,284005,3113144,11248351,1.1915,11288,982
2018 Q3,68.75434782608696,84017,393473.7,165574.3,121200.2,139498.8,125304.8,1734271,1596294,269014,2980396,10553033,1.1629,10846,761
2018 Q4,68.55967391304348,79663,415225.2,202384.3,147914.3,142851.5,134441.7,1909392,1762618,282145,3043728,11016620,1.1414,10803,822
2019 Q1,59.43011111111111,80625,386402.6,166155.2,121256.7,132425.6,125624.4,1935249,1786670,280128,3004886,10921649,1.1358,11708,1273
2019 Q2,50.88428571428572,76972,402661.9,181547.9,132672.7,146529.3,129445.4,1940708,1791027,289466,3119052,11177871,1.1237,10293,1318
2019 Q3,51.05141304347826,84215,401308.5,168602.3,123269.2,143907,124699.8,1733449,1592971,271532,3012867,10609304,1.1119,10246,1728
2019 Q4,48.117717391304346,77787,420995.5,205217.3,149860.9,144922.4,128260.7,1864878,1716220,290715,2979157,10907460,1.1071,11739,1502
2020 Q1,39.57758241758242,77036,370423.1,161563.5,117520.5,124529.9,116434.1,1699960,1559993,272450,2589405,9891075,1.1027,13124,1797
2020 Q2,24.845494505494507,66650,343176.1,157191.7,114065.9,99651.6,90246.4,1475385,1340139,261436,2025703,8654072,1.1014,5689,3081
2020 Q3,42.29184782608696,81485,385958.6,163721,119328.8,128347.8,105313,1649641,1509011,261562,2596450,9879268,1.1689,8247,1607
2020 Q4,48.79967391304348,77657,403097,196981.4,143983.9,136411.4,117161.8,1765207,1617573,277463,2562516,10085775,1.1929,12726,1102
2021 Q1,59.313,78297,374666.2,162486.9,117960,128857.5,119939.3,1770665,1622512,281757,2377757,9874207,1.2048,12937,911
2021 Q2,74.57725274725274,75509,397204.2,182035.1,132382.8,146222.2,130850.4,1894136,1740849,293967,2648438,10662802,1.2058,10629,763
2021 Q3,124.34032608695652,84044,404535.1,174677.4,127090.6,150405.9,135730.6,1729963,1586691,270792,2775563,10360201,1.1788,12919,698
2021 Q4,241.71847826086957,80225,425848.1,211997.7,154669,158966.2,157206.4,1880304,1730379,294492,2808647,10737802,1.1435,10079,1399
2022 Q1,249.29122222222222,80638,402149.3,175905.9,128315.4,160142.5,170256.4,1889116,1742795,287882,2729703,10622810,1.1217,10826,1274
2022 Q2,248.9235164835165,78362,429254,197588.6,144474.4,182454.3,185815.1,1919259,1766871,306518,2946184,11151611,1.0647,12670,785
2022 Q3,471.9375,83134,424559.8,182040.7,133062.2,181025.3,195380.9,1744601,1599452,295302,2830621,10579096,1.007,12012,871
2022 Q4,243.80141304347828,74693,458178.3,227178.5,165867.1,185621,187206.1,1858949,1706739,312078,2863718,10925680,1.0205,11883,1474
2023 Q1,157.11166666666668,77419,436507.1,187980.8,137012.4,173668.7,174942.4,1957008,1800148,316642,2896148,11053677,1.073,14466,773
