date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,37.06288888888889,1943,4826.6,2512.1,2086.5,3461,3598.7,65525,55074,15376,111927,417880,1.1261,1077,584
2015 Q2,38.30318681318681,1681,5419.7,2747.6,2294.6,3621.8,3756.7,68636,57248,13888,116846,426557,1.1053,1537,1114
2015 Q3,44.99663043478261,1679,5662.4,2748.3,2280.3,3828.3,3976.3,67560,56379,12157,121318,423728,1.1117,1442,843
2015 Q4,46.884891304347825,1904,5704.7,2885.6,2412.5,3899.8,3897.3,66743,56059,13701,122224,422483,1.0953,1191,883
2016 Q1,36.65395604395604,2004,4958.4,2675.3,2216.9,3476.5,3428.6,67749,56845,16408,111511,416298,1.102,1156,821
2016 Q2,34.62417582417582,1663,5526.6,2954,2455.9,3715.9,3718.7,67625,56493,15173,117531,428356,1.1292,1338,1208
2016 Q3,35.38326086956522,1655,5738.9,2906.1,2400.3,3900.5,3846.9,67147,57048,12337,119264,415813,1.1166,1616,913
2016 Q4,37.68336956521739,1939,5942.9,3073.7,2556.9,4030.2,4040.3,70085,59370,14876,121808,425705,1.0789,717,852
2017 Q1,33.943,1970,5216.2,2868.9,2376.2,3862.2,3844.3,69787,57845,17827,109499,417253,1.0648,832,1152
2017 Q2,34.05978021978022,1676,5866.8,3203.8,2673.5,4034.3,4145.3,66954,56278,15050,108781,410870,1.1021,909,918
2017 Q3,37.0920652173913,1687,6175.1,3119.3,2582.7,4203.4,4420.8,67252,56834,14144,115219,413549,1.1746,1333,937
2017 Q4,33.599347826086955,1944,6316.3,3333.7,2758.6,4519.7,4379.2,70528,59993,15321,121652,429757,1.1774,1000,1129
2018 Q1,42.35033333333333,2024,5471.6,3162.3,2610.8,4081.4,4107.7,69235,58374,19106,112180,425869,1.2292,1010,1311
2018 Q2,44.86967032967033,1699,6336.6,3531.9,2923,4624.2,4412.5,68885,58240,17789,114789,427873,1.1915,1218,1074
2018 Q3,57.51413043478261,1726,6660.3,3473.9,2857.1,4477.6,4836.5,69052,58585,15506,118769,424674,1.1629,1436,918
2018 Q4,54.62945652173913,1959,6838.9,3741.8,3071.5,4734.2,4754.5,68405,58688,16388,120866,429026,1.1414,1508,961
2019 Q1,48.01188888888889,1975,5890.1,3459.7,2806.3,4352.2,4318.3,68444,58759,18508,108177,415435,1.1358,1164,945
2019 Q2,44.14186813186813,1714,6719.7,3821.4,3145.7,4553.3,4647.7,66996,57035,17494,107889,411690,1.1237,1355,968
2019 Q3,49.10717391304348,1705,7066.2,3725,3049.6,4742,4875.7,69164,58181,16406,116153,424863,1.1119,1226,956
2019 Q4,43.868478260869566,1902,7047,3964.8,3256.2,4702.7,4710.8,67783,57936,15637,120862,422929,1.1071,867,625
2020 Q1,27.60857142857143,1910,6144.6,3675.3,3020.6,4454.3,4499.3,65779,55771,18842,107301,406227,1.1027,915,912
2020 Q2,28.845934065934067,1642,6234.9,3644.2,2999.9,3974.7,3835.7,61009,50462,15100,94883,368553,1.1014,980,639
2020 Q3,38.37086956521739,1688,6945.4,3828.4,3126.2,4706.9,4708.3,64458,53844,15379,109344,410914,1.1689,1289,598
2020 Q4,41.2425,1898,7111.7,3998.3,3281.5,5010.1,4809.6,63404,54496,16958,106947,395794,1.1929,989,397
2021 Q1,51.827333333333335,1951,6160,3627.5,2987.4,4559,4626.3,64617,53309,19994,83114,368026,1.2048,829,778
2021 Q2,56.052307692307686,1713,7167.4,4099.2,3439.1,4962.1,5524.7,64859,56491,17967,104391,399497,1.2058,959,786
2021 Q3,99.46,1768,7881.1,4214.2,3432.6,5749.2,6180.3,69043,59186,16043,107424,397063,1.1788,1688,711
2021 Q4,146.62184782608696,1950,8231.2,4421.8,3622.1,6116.6,6209.8,69385,60769,17672,107464,399963,1.1435,1191,618
2022 Q1,139.71233333333333,1937,7344.4,4097.7,3374.8,6032.4,6494.5,68264,58494,21977,102118,400713,1.1217,1126,625
2022 Q2,163.8356043956044,1692,8492.5,4605.9,3808.8,6649.9,7380.5,66171,57098,20042,112642,414484,1.0647,1283,930
2022 Q3,374.76717391304345,1645,9196.5,4601.4,3769.2,7616.6,8096.5,69042,59349,17605,110578,409898,1.007,1709,732
2022 Q4,226.44902173913044,1831,9393,4934.1,4037.8,7190.9,7791.1,71184,62166,19458,116441,415681,1.0205,1190,709
2023 Q1,99.97577777777778,1852,8134.2,4720.5,3887.6,6378.4,6882.8,68670,59852,22937,105289,411886,1.073,584,1191
