date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,37.065555555555555,2793,7424.6,3694.5,2919.8,5748.9,5956.1,107364,94938,11701,171400,619426,1.1261,2087,141
2015 Q2,38.567252747252745,2546,8333.3,3970.4,3143,6556.4,6904.4,109848,97592,12731,173943,643437,1.1053,1830,209
2015 Q3,44.99663043478261,2561,9179,3904.5,3056.2,6686.2,6674.3,110137,95957,13656,177073,627817,1.1117,1843,167
2015 Q4,46.91347826086957,2887,8690.5,4075.1,3197.4,6694,6523,117937,103653,12621,177688,650999,1.0953,2178,212
2016 Q1,37.076153846153844,3003,7748.7,4000.5,3158,5918.5,5855.5,116720,103804,12896,178448,650502,1.102,2704,493
2016 Q2,35.4545054945055,2616,8635.2,4280.5,3378.4,6567.5,6701,117490,103908,14197,186125,660134,1.1292,2789,828
2016 Q3,35.69315217391304,2658,9399.2,4245.5,3321,6725.5,6556.7,116887,102890,13139,183538,655606,1.1166,2974,888
2016 Q4,37.87228260869565,3056,9214,4485.7,3513.5,7073.2,6891.2,123324,107799,14076,182502,665936,1.0789,2640,622
2017 Q1,34.81366666666667,2811.71,8342.4,4332.1,3394.1,7123.5,7072.6,117967,102537,12919,176798,635242,1.0648,2981.861,730.652
2017 Q2,34.06241758241758,2600.2700000000004,9338.1,4722,3714.6,7741,7557.4,120000,104628,12666,180008,652608,1.1021,2869.328,866.952
2017 Q3,37.11413043478261,2627.55,10272,4610.5,3606.6,7861.1,7544.8,116948,99953,12569,175282,627517,1.1746,2975.4210000000003,782.559
2017 Q4,34.51945652173913,2841.0699999999997,10029.5,4897.1,3841.6,8387.7,7959,115685,100052,13206,174167,640125,1.1774,3099.5249999999996,868.798
2018 Q1,42.36388888888889,2929.33,9000.9,4767.7,3739.1,7717.2,7710.7,119424,104951,14822,170841,630474,1.2292,3341.544,824.938
2018 Q2,44.964505494505495,2626.31,10023.3,5119.9,4025.5,8407.5,8283.1,124760,108730,15094,176016,655353,1.1915,3164.6409999999996,1007.922
2018 Q3,57.54630434782609,2630.29,10959.1,5135.4,3985.1,8951,8552.6,124138,107621,16222,185346,653230,1.1629,2966.661,649.733
2018 Q4,54.899565217391306,2968.77,10944.9,5361.1,4188.1,9154.2,8856.9,123688,108191,16577,177399,662683,1.1414,3374.6369999999997,732.4770000000001
2019 Q1,47.845555555555556,2955.69,9700,5283.2,5105.9,8734.5,8262.2,122227,106725,17209,171635,642629,1.1358,3297.014,963.928
2019 Q2,44.08527472527472,2714.9300000000003,10812.5,5742.4,5551.8,9445.5,9016,121379,108288,16748,183385,661110,1.1237,3246.9280000000003,1001.582
2019 Q3,49.04608695652174,2638.84,11831.1,5645.2,5453.6,9779.3,9036.7,117491,103971,17972,185987,650876,1.1119,3303.339,959.068
2019 Q4,43.53663043478261,2992.17,11608.4,5986.2,5789.3,9858.8,8902.4,125416,109419,18207,182420,664227,1.1071,3420.673,999.708
2020 Q1,27.50956043956044,2827.7599999999998,10371.1,5826.7,5628.2,9157.8,8144.2,121135,105843,16272,167195,632071,1.1027,3364.558,1127.247
2020 Q2,28.771098901098902,2510.5,10469.1,5834.9,5638.7,7821.9,6788.3,113821,99483,18135,152445,586961,1.1014,2757.797,963.231
2020 Q3,38.17130434782609,2624.1,12121.6,5794.9,5592,9423.5,8152.5,114403,100992,18933,169267,625531,1.1689,2889.964,1166.713
2020 Q4,41.57152173913043,2947.08,11702.9,6371,6146.7,10053.2,8741.4,115569,101864,19866,165507,624198,1.1929,3001.0389999999998,847.6990000000001
2021 Q1,53.45388888888889,3000.98,10864.6,6293.9,6073.9,9783.7,8741.6,122475,107525,21323,155193,615806,1.2048,3238.1980000000003,811.9649999999999
2021 Q2,57.57835164835165,2678.52,12000.9,6847.4,6611.4,10863.1,10340.7,125219,109585,26327,159462,638798,1.2058,2773.6589999999997,766.029
2021 Q3,99.75076086956521,2703.58,13758.8,6680.7,6433.3,11632.1,11047.7,123736,108613,25307,167264,633269,1.1788,2814.5380000000005,728.7719999999999
2021 Q4,149.88239130434783,3110.13,13577.1,7147.1,6892,12940.8,12550.9,121451,106073,25605,174528,649149,1.1435,3652.499,1128.438
2022 Q1,141.43366666666665,3007.12,12948.2,7382.4,7139.1,12918.2,13083.2,118536,104471,25605,169882,652957,1.1217,3569.943,1203.115
2022 Q2,167.97494505494504,2549.6600000000003,14459.9,8021.2,7754.4,13904.5,14353.8,120475,106500,26916,168425,681068,1.0647,3102.4030000000002,1046.3049999999998
2022 Q3,381.99695652173915,2455.92,16971.3,7579.2,7323.5,16058,16287.4,119026,104821,28260,172006,655925,1.007,3189.9129999999996,1203.335
2022 Q4,226.65304347826088,2755,16316.5,8179.6,7894.8,15602.4,16082.2,124919,107535,30542,172623,682923,1.0205,3071.679,913.5709999999999
2023 Q1,101.72322222222222,2725.8500000000004,14472.4,8471.9,8185.1,14038.4,13325.6,120220,104769,28266,167276,663632,1.073,3243.828,1268.109
