date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,33.108333333333334,1654,12068.3,5928.4,5094.9,25935.4,21677.3,14304,12680,6634,34545,149529,1.1261,1879,793
2015 Q2,28.371868131868133,1491,12273.9,6119.9,5258.7,26415.7,21940.7,14122,12520,6421,34151,148471,1.1053,1842,387
2015 Q3,32.837065217391306,1499,12015.9,5980.3,5137.4,25107.4,20864.3,15380,13630,6987,36890,159158,1.1117,1868,369
2015 Q4,33.18739130434783,1598,13179.3,7029.4,6077.6,26405.6,21764.6,15224,13469,6976,36641,158583,1.0953,1929,372
2016 Q1,25.175934065934065,1685,12210.7,6191.2,5327.2,25873.3,21434.4,14661,12989,6910,35288,154146,1.102,1991,371
2016 Q2,24.797252747252745,1544,12536.8,6283.5,5409.2,26350.2,22001.5,14718,13033,6930,35715,156531,1.1292,1939,375
2016 Q3,28.26695652173913,1494,12760,6179.4,5314.9,26659.4,21597.5,15454,13669,7262,37336,162805,1.1166,1806,305
2016 Q4,37.602065217391306,1647,13878.7,7340.3,6352.3,28530,23403.7,15016,13263,7182,36597,160300,1.0789,1983,368
2017 Q1,41.312333333333335,1668.4799999999998,12587.7,6563.4,5649.4,26789.2,22587.4,15039,13266,7468,36852,162906,1.0648,1981.703,370.273
2017 Q2,29.787142857142857,1541.5,13125.1,6805.6,5860.3,27511.7,23166.4,14492,12791,7085,35617,158425,1.1021,1780.462,293.54200000000003
2017 Q3,32.70239130434783,1528.1,12941.3,6620.1,5699.7,27878.7,23045.5,15334,13539,7573,37687,166250,1.1746,1804.6259999999997,302.498
2017 Q4,33.047391304347826,1629.4499999999998,14357.5,7776.4,6730.9,29939.2,24879.5,14945,13189,7501,37082,164198,1.1774,1999.8990000000001,422.33500000000004
2018 Q1,35.51244444444445,1717,13033.5,6921.2,5974.3,28340.9,23795.9,15170,13385,7696,37417,165016,1.2292,2017.969,405.567
2018 Q2,35.97846153846154,1567.06,13460,7209.4,6231.9,29260.3,24377.9,14946,13176,7495,36960,164671,1.1915,1919.6620000000003,401.703
2018 Q3,53.50836956521739,1521.4700000000003,13484.9,7073.6,6103.8,29848,24630.3,15555,13697,7875,38592,170724,1.1629,1721.0620000000001,248.707
2018 Q4,52.5804347826087,1639.95,14653.4,8504.5,7390.5,31291,26349.2,15308,13465,7905,38462,170547,1.1414,1894.319,335.697
2019 Q1,40.885666666666665,1690.83,13217,7385.3,6419.1,30429,25937.4,15129,13296,7861,38277,169583,1.1358,1890.277,329.381
2019 Q2,35.792637362637365,1572.17,14079.3,7680.6,6678.6,31504.6,26664,14809,13011,7635,37906,168230,1.1237,1665.29,195.58800000000002
2019 Q3,37.45032608695652,1497.9299999999998,14000.8,7465.4,6485.9,32070.7,27066,15756,13810,8200,40549,178421,1.1119,1570.3429999999998,163.691
2019 Q4,36.59347826086957,1586.21,15399.9,8820.1,7714.1,33438,28564.5,15320,13411,8049,39773,175601,1.1071,1691.611,250.06
2020 Q1,26.57065934065934,1595.62,14164.1,7742.1,6734.1,31375.2,26056.1,14504,12648,7953,36672,167334,1.1027,1638.981,248.539
2020 Q2,20.264505494505496,1391.27,14052.8,7383.1,6377.4,30245.5,24581.2,11827,10149,6801,26645,142094,1.1014,1513.351,259.975
2020 Q3,36.13326086956522,1502,14583,7829.4,6809.2,32118.6,26939.2,15134,13108,8305,38505,178858,1.1689,1676.8519999999999,287.348
2020 Q4,38.765108695652174,1609.0700000000002,16359.2,9324.4,8176.4,35575.9,29698.8,14740,12734,8311,36630,175777,1.1929,1714.311,282.74899999999997
2021 Q1,49.58922222222222,1675.39,15124.9,8056.4,6995.6,35530.4,29702.2,14141,12188,8111,33104,169411,1.2048,1739.6170000000002,266.416
2021 Q2,60.29615384615385,1597.36,15846,8578,7476.1,37206.3,31353.1,13997,12061,8004,34752,170819,1.2058,1617.0099999999998,241.007
2021 Q3,97.14554347826086,1548.97,16118.4,8388.3,7305.8,37787.2,31158.7,15310,13207,8743,40156,186779,1.1788,1622.652,241.45999999999998
2021 Q4,178.94445652173914,1651.33,18501.5,10245.5,8993,42332,35521.9,15087,13016,8650,40025,185526,1.1435,1779.1909999999998,288.254
2022 Q1,184.60444444444445,1688.51,16740.7,8916.7,7781.5,39782.1,33254,14597,12584,8538,38412,181998,1.1217,1909.266,443.23799999999994
2022 Q2,187.1231868131868,1548.58,17612.4,9566.7,8357.9,40578,33948.5,14057,12127,8194,37696,176346,1.0647,1727.5970000000002,373.855
2022 Q3,381.82923913043476,1460.21,17817.3,9152.7,7971.1,40965.2,33748.5,15292,13188,8870,41084,190256,1.007,1737.386,420.12
2022 Q4,196.85782608695652,1502.23,18878.6,10811.2,9485.4,42252.9,35863.8,14817,12762,8710,40254,186428,1.0205,1771.835,402.043
2023 Q1,121.91777777777777,1541.4,18068.4,9764.6,8511.2,40458.4,33613.9,15215,13075,8980,40962,191386,1.073,1752.1729999999998,384.935
