date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,34.34,38306,87990.9,38635.5,34314.5,49283.8,46409.2,1913923,1616173,192255,1829032,7914837,1.1261,3290,3543
2015 Q2,37.34648351648352,35165,93865.7,40469.1,33484.6,51203.2,49055.9,1892477,1602347,189671,1890909,8147707,1.1053,3089,2452
2015 Q3,41.32413043478261,36032,92821.8,41367.1,33035.1,50532.5,49460.5,1944468,1633319,191612,1976466,8559343,1.1117,3955,4214
2015 Q4,35.89641304347826,38726,106486.3,41672.3,34632.7,52960.8,50117.9,1907794,1600052,185791,1892356,8100790,1.0953,4125,4584
2016 Q1,34.33956043956044,39189,88026.7,39305.4,34816.5,50887,47328.1,1969459,1672357,177615,1933489,8054931,1.102,4591,3946
2016 Q2,38.14934065934066,35953,90213.5,40271.3,33573.6,54195,49656.6,2012061,1725289,181465,1920607,8312439,1.1292,4053,2770
2016 Q3,33.896195652173915,36529,91619.1,42453.4,34130.8,52598.1,50592.1,2016031,1713429,194893,1966797,8503424,1.1166,2891,1960
2016 Q4,36.64826086956522,40078,105039.5,43440.4,35683.7,55805,53188.7,1971672,1668531,195793,1941517,8157408,1.0789,2483,3341
2017 Q1,35.71611111111111,37686.590000000004,94391.4,42366.3,37404.5,58630.5,55305.5,2056390,1775196,204436,1962333,8276055,1.0648,3457.338,3875.656
2017 Q2,34.91395604395604,35560.8,99307,44756.3,37354.8,60465.2,56449.2,2015514,1760018,194717,1899288,8232076,1.1021,3521.618,2589.817
2017 Q3,38.10434782608696,35787.21,100231.2,46548.1,37622.9,60267.5,56671.7,2051710,1767096,200670,1964917,8534315,1.1746,3064.362,2111.4249999999997
2017 Q4,38.34717391304348,37658.61,115151.3,48654.8,40541.8,63179.5,60931.6,1978762,1707907,189731,1912316,8066535,1.1774,3228.134,2407.163
2018 Q1,44.03122222222222,39113.83,104080.5,47271.7,41994.9,63361.6,60882.4,2060003,1802309,201044,1914856,8157445,1.2292,3545.7110000000002,1992.442
2018 Q2,49.114065934065934,36341.3,104891.4,48152.4,40343.5,65766.3,62029.9,1958276,1710843,214500,1879207,8122130,1.1915,3606.804,1321.768
2018 Q3,58.35510869565218,35808.4,106755.8,49974,40456.4,65101.6,62795.9,2051497,1793362,228688,1978276,8563058,1.1629,3294.8910000000005,2417.241
2018 Q4,56.97054347826087,38131.240000000005,121180.4,51754.2,43293.3,68948,67252.2,1993074,1727387,196938,1867250,8000060,1.1414,3368.397,2389.85
2019 Q1,50.768,38928.54,109091.9,50144.4,44597.6,69278.7,64376.1,2076184,1799462,212313,1924511,8174104,1.1358,3941.5029999999997,2190.694
2019 Q2,55.643846153846155,36697.729999999996,112891,51895.7,43783.2,70379.7,65659.6,1972464,1698730,221727,1846289,8031928,1.1237,4408.78,1568.093
2019 Q3,58.03880434782609,36362.770000000004,115111.4,54332.4,44184.4,70174.6,65715.6,2042924,1747304,224739,1959184,8534279,1.1119,4639.76,1798.446
2019 Q4,49.33913043478261,38191.17,130987.4,56726,46957.4,73460.5,67824.7,1940618,1648649,209109,1895510,8004374,1.1071,4878.284,1688.1190000000001
2020 Q1,40.643186813186816,38239.04,116512.5,53680.8,48058.6,71426.6,65752,1952750,1669962,223633,1859220,8091535,1.1027,5429.986000000001,2672.971
2020 Q2,40.06384615384616,33368.8,103617.3,50675.8,42514,58338.4,51099.9,1880797,1605208,213395,1755217,7814124,1.1014,5112.341,1333.411
2020 Q3,51.64445652173913,35854.15,115033.4,54856.9,44519.2,70755.6,63125.8,1987774,1687027,247468,1924764,8523854,1.1689,4986.555,1258.54
2020 Q4,54.13695652173913,38498.18,128252,56314.6,46796.1,78349.4,69195.1,1896774,1608607,224025,1811568,8059823,1.1929,5095.237,2092.1530000000002
2021 Q1,57.73266666666667,39623.51,115268.8,53453.8,47605.6,77044.2,69488.3,1989415,1693212,243075,1908491,8436761,1.2048,4373.464,2251.88
2021 Q2,67.06164835164836,37072.69,119526.7,54730.1,46387.4,82561.7,74598.3,1918683,1636484,258305,1953957,8531462,1.2058,3768.322,2617.916
2021 Q3,88.84989130434782,37741.4,126389,55063.6,47213.8,81936.2,79271.8,1957254,1681458,269945,2049433,8902646,1.1788,3176.533,4165.391
2021 Q4,133.6411956521739,40000.41,140179.3,62780.2,50114.8,90954.7,89937.4,1908200,1635740,256594,1969948,8559836,1.1435,3781.517,5176.877
2022 Q1,134.616,40168.96,134074,59073.1,52486.7,92984.1,91375.1,2008957,1719695,246690,1960472,8632845,1.1217,3738.035,4698.998
2022 Q2,149.96043956043957,36876.96,137696.1,61264.4,51670.2,102514,99072.4,1910598,1625299,242272,1911909,8511500,1.0647,3818.557,4565.025
2022 Q3,221.98858695652174,36700.64,146006.5,61858.3,52902,103397.9,101401.5,1919900,1636209,259576,1985591,8701105,1.007,3932.656,3723.0640000000003
2022 Q4,159.41565217391303,37934.08,165767.5,67707.8,55859.5,109571.4,106757.4,1915038,1654882,273196,1932139,8475914,1.0205,3748.382,3927.8520000000003
2023 Q1,129.72933333333333,38494.18,152658.6,66819.3,58716,106566.6,95229.1,1956167,1688811,299883,2015111,8695110,1.073,3711.1,3084.686
