date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,45.949666666666666,13506,37598.5,18228.1,14250.8,16797.8,16819.9,359008,332199,39757,562361,2119920,1.1261,2041,1751
2015 Q2,48.466153846153844,12036,39714.4,20067.6,15621.3,18623.7,18809,362455,334494,42936,591012,2207567,1.1053,1929,1154
2015 Q3,55.91326086956522,12590,39746.6,19280.8,15084.7,19824.7,17911.4,333393,307115,39325,565017,2063983,1.1117,2161,1149
2015 Q4,51.41847826086956,12550,39457.8,20829.8,16222.9,17744.5,18121.6,362819,334554,43235,590191,2204673,1.0953,1947,1754
2016 Q1,30.533076923076923,13407,38956.8,18731.1,14663,16604.9,16874.6,369767,341854,44336,590773,2205520,1.102,1101,3380
2016 Q2,28.88010989010989,12095,40988.5,20639.5,16096.6,18642.8,18247.7,370595,342627,43939,611638,2260159,1.1292,630,2421
2016 Q3,41.68054347826087,12700,41162.2,20002.2,15678,20804.1,18256.7,331169,305191,40103,589851,2078363,1.1166,1298,1841
2016 Q4,56.44945652173913,12771,40885.8,21840.6,17052.2,18937.3,19470.3,366067,337664,43797,600801,2220152,1.0789,1587,2059
2017 Q1,55.74588888888889,12451.279999999999,40572.6,19554.7,15335.1,19353,19589.4,383883,354626,47018,620905,2291942,1.0648,1244.144,2440.863
2017 Q2,47.18736263736264,11326.529999999999,42923.1,21697.7,16936.9,20698.9,20547.5,377538,349261,45297,629757,2289964,1.1021,1295.493,1823.002
2017 Q3,48.39152173913043,11794.609999999999,42901.8,21117.5,16529.9,22929.2,20261.3,346936,319796,43974,611467,2152752,1.1746,848.1,2317.966
2017 Q4,58.59358695652174,12125,43244.8,23727.3,18398,20735.9,21340.8,372423,344353,48304,620233,2263585,1.1774,2119,1608
2018 Q1,48.584666666666664,12970,42155.5,20626.8,16086.4,20289,20765.2,388447,359716,48722,618216,2297632,1.2292,1631,2494
2018 Q2,52.13153846153846,11552,44773.8,23002.7,17863.1,22866.9,22675.2,392029,362629,52027,648880,2365453,1.1915,1226,1885
2018 Q3,65.7479347826087,11974,44835.7,22338.6,17405.2,24481.2,21901.5,355279,329234,47753,645378,2223057,1.1629,1050,2081
2018 Q4,63.10413043478261,12246,45700.9,25665,19868.3,21506.6,22852.5,393335,364377,52809,658159,2377170,1.1414,1761,1866
2019 Q1,55.56311111111111,12466,44354.4,21884,17037.6,21418.4,22240.6,390380,361909,54394,645755,2352318,1.1358,2480,829
2019 Q2,48.85879120879121,11468.97,46785.7,24411.8,18975.4,23430.3,23451.2,383292,353883,52968,658990,2359962,1.1237,1918,880
2019 Q3,46.235978260869565,11837.26,46844.6,23747,18468.9,25371.7,23027.9,353790,326541,51800,645422,2252847,1.1119,2114.912,754.77
2019 Q4,40.98543478260869,12527.749999999998,47551.5,27056.5,20954.6,23050.7,23582,393020,364971,56146,672258,2404737,1.1071,1585.7060000000001,2235.157
2020 Q1,34.902857142857144,12489.369999999999,44106.5,22547.1,17540.2,20874.8,22262,381751,351765,56371,609402,2283493,1.1027,1800.22,1921.85
2020 Q2,23.255164835164834,10205.51,40170.7,23607.2,18392.4,14152.9,15728.4,304524,277257,54990,407242,1862114,1.1014,2426.441,814.5999999999999
2020 Q3,37.50836956521739,11715.09,44721.9,23605.9,18367.9,19535.2,19578.5,347518,319994,55512,565284,2143070,1.1689,1969.1169999999997,1188.59
2020 Q4,40.1725,12166.33,45769,27363.4,21197,19722.9,21015.9,377601,346896,59593,579582,2275796,1.1929,1356.9859999999999,2171.728
2021 Q1,45.31355555555555,12422.689999999999,43263.9,22939.2,17877.7,19691,20852.2,367587,338087,63531,478286,2115051,1.2048,1652.866,2236.4790000000003
2021 Q2,71.76879120879121,10506.099999999999,46436.4,25847.1,20103.9,21010.5,23200.1,380442,350038,64426,592950,2319068,1.2058,2376.712,1037.718
2021 Q3,118.07184782608695,11661.43,47348,25216.4,19630.4,24079.8,24398.2,360321,332069,57960,583168,2166160,1.1788,2811.586,537.1179999999999
2021 Q4,211.04010869565218,12324.48,48681.5,28944.3,22449.7,24623.4,27080.1,368767,339951,64028,588797,2226696,1.1435,2702.8940000000002,980.137
2022 Q1,229.55444444444444,12794.949999999999,48411.2,24927.6,19375,25493.1,28023,388477,360795,66972,611843,2339122,1.1217,3360.231,614.674
2022 Q2,182.99076923076922,11695.89,51718.8,28424.5,22071.7,30713,32526.5,364217,337301,63184,612839,2286384,1.0647,3173.462,544.226
2022 Q3,147.49652173913043,12138.07,52419.3,27761.5,21610.7,33837,33166.5,343645,315416,61348,599885,2172608,1.007,3497.1980000000003,316.973
2022 Q4,112.96130434782609,12236.98,54305.9,31786.1,24346,29606.6,32153.9,377337,348972,64583,615109,2288184,1.0205,2282.3599999999997,1585.7169999999999
2023 Q1,96.68822222222222,13130.02,54078,27910.9,21650.8,29937.8,30629.2,392355,362909,68334,628812,2375868,1.073,2739.6890000000003,1517.62
