date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,36.26422222222222,12693,26828.2,12195.8,10280.2,16013.7,15885.2,827361,706339,83958,826404,3580396,1.1261,202,2584
2015 Q2,28.93868131868132,11328,31916.4,12339.1,10383.9,16568.7,16571.1,854003,731328,74713,868333,3921440,1.1053,573,2433
2015 Q3,41.27141304347826,12607,39649.8,13363.5,11378.6,16934.1,17315.6,844056,724577,72876,881672,3988824,1.1117,784,2498
2015 Q4,39.17956521739131,13594,42406.5,13511.1,11336.5,16761.4,17822.7,834820,717295,85395,848632,3733436,1.0953,1013,2966
2016 Q1,31.161318681318683,14657,28516.6,14080.7,11808.4,16816.2,16876.7,870420,751075,82449,869350,3655921,1.102,1203,2067
2016 Q2,28.532747252747253,13495,34718.4,14847.7,12484,17642.4,17993.4,860009,738833,73452,879015,3887934,1.1292,1026,1725
2016 Q3,32.35434782608696,12752,41399.7,15121,12666.4,18053.4,18422.4,858036,731235,73880,892716,3962017,1.1166,625,2315
2016 Q4,40.53641304347826,14169,45312.2,15836.9,13300.3,18530.1,19522.6,887497,758088,79077,898892,3743515,1.0789,715,2482
2017 Q1,55.18900000000001,14608,32297.7,16421.8,13751.6,19010.6,19377.4,861190,734249,81682,913738,3666408,1.0648,1003,2430
2017 Q2,40.21824175824176,12814,38659.4,17364.1,14545.2,19495.5,20653.7,872715,747340,88438,914190,3996423,1.1021,1267,1887
2017 Q3,50.196304347826086,13183,46782.8,17281.2,14430,20093.2,21061.7,891661,771006,86931,912793,4000479,1.1746,1619,1717
2017 Q4,46.53304347826087,14305,50647.3,18446.1,15199.7,20292.6,22417.4,878265,754742,76629,894830,3750259,1.1774,954,1701
2018 Q1,34.86633333333333,15146,35054.6,18615.3,17448.2,20792.1,21679.4,869620,732069,82860,909153,3675972,1.2292,763,1964
2018 Q2,38.182637362637365,13013,42904.5,19853.2,18869.6,21438.9,22905.3,895512,763564,93587,943871,3977492,1.1915,896,1280
2018 Q3,50.17576086956522,13294,52177.4,19739.2,18768,21444.1,23230,895847,774874,86949,972298,3998830,1.1629,672,1603
2018 Q4,62.166304347826085,14725,56242.4,20126.8,19125.8,21929.9,24768.9,875934,754692,70237,937489,3785092,1.1414,1364,1392
2019 Q1,54.13766666666667,14765,38662.7,20812.6,19884.7,22028.2,24061.8,880689,751686,78882,922232,3740882,1.1358,1302,1039
2019 Q2,41.558351648351646,13225,46887.6,21868.3,20872.2,22515.8,24353.1,890901,758561,83238,957540,4009282,1.1237,688,1379
2019 Q3,58.700760869565215,13360,56023.3,21551.4,20586.5,22406.8,24904,879916,750142,83877,993908,4005765,1.1119,1669,470
2019 Q4,47.182065217391305,14040,61173,22312.5,21343.6,23162.4,25989.3,860364,738762,77564,975820,3840090,1.1071,1831,1086
2020 Q1,40.98241758241758,14322,41682.3,21669.3,20704.3,22039.8,24361.7,863629,736457,75822,945201,3735041,1.1027,2261,1768
2020 Q2,26.874945054945055,11556,42479,20950.2,19984.8,15831.4,17959.5,702859,578516,79203,830417,3449357,1.1014,1756,1117
2020 Q3,40.19945652173913,13218,53836.1,21587.8,20608.5,20736.5,22950.9,813420,679214,86753,985234,3893138,1.1689,1818,1212
2020 Q4,49.76619565217391,14389,61840.7,22745.5,21731.2,22701.1,25527.7,818845,696357,97441,1002228,3801866,1.1929,2382,1328
2021 Q1,52.89,14623,41801.4,21671.9,20630.8,22557.3,25529.2,834733,702285,85753,999249,3747234,1.2048,2054,1787
2021 Q2,66.06769230769231,13260,50046.6,22132.2,21082.8,23991.4,27078.7,849770,713595,83906,1022042,4007493,1.2058,1692,2125
2021 Q3,113.27641304347826,13594,59635.8,22035.5,20974.1,24290.5,28157.6,829979,695143,93123,1010219,3984524,1.1788,2391,1275
2021 Q4,211.6617391304348,14414,66388.9,23063.9,21971.7,27211.6,30982.2,798507,670974,95530,1018380,3826697,1.1435,2550,1311
2022 Q1,219.16444444444446,14233,48432.3,23692.4,22567.9,28255,32706,829583,694757,85680,1013607,3800484,1.1217,2129,1467
2022 Q2,202.51758241758242,12412,60917.8,24895.7,23744.6,30341.3,34774.6,858845,723049,89647,1022126,3998225,1.0647,1723,1619
2022 Q3,412.38,12388,72659.2,25150.8,23970.7,32066.3,38134.6,830757,705357,98166,1020368,3982334,1.007,2612,2054
2022 Q4,225.40782608695653,12506,78136.4,26415.7,25209.5,32201.5,36897.5,810441,692920,91435,1029016,3834676,1.0205,2189,2291
2023 Q1,128.6472222222222,12854,58025.9,27340.7,26181.1,31281.5,35003.1,811102,690277,77723,1009828,3750489,1.073,1981,3408
