date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,32.837,6887,16676.5,7041.3,5349,17669.1,16885.6,232151,210951,27277,267766,987000,1.1261,3748,3365
2015 Q2,28.965164835164835,6089,17883.5,7511.9,5741.8,18476.2,17639.6,238533,216857,28262,273011,1015895,1.1053,2833,2502
2015 Q3,36.12554347826087,6130,19048.5,7448.3,5663.8,17909.3,17359.3,231484,211052,27184,267956,969478,1.1117,4089,3371
2015 Q4,36.264347826086954,6854,18536.1,8378.8,6433.5,19341.3,19097.1,235940,215306,27861,273005,1004316,1.0953,4286,3370
2016 Q1,27.361318681318682,6987,16873.1,7415.6,5655.1,17781.4,17249,239040,217570,27672,267183,1002816,1.102,3762,3289
2016 Q2,27.733296703296702,6190,18296.1,7853.9,6024.4,19475.5,18739.8,251932,229936,30706,277693,1056731,1.1292,3819,2513
2016 Q3,30.145434782608696,6022,19228.8,7796.2,5973,18219.6,17601.6,232182,212350,28161,263541,969467,1.1166,2404,2353
2016 Q4,41.11347826086956,6990,18837.7,8870.6,6863.1,20478.9,20009.4,238756,218277,29056,271816,1009638,1.0789,3264,2441
2017 Q1,45.33011111111111,7387,17308.2,7907.5,5980.2,19555.3,19199.4,250055,228579,30176,274209,1033211,1.0648,4438,3536
2017 Q2,34.65560439560439,6594,18938,8440.8,6446,19896,19256.9,253168,231857,30641,273921,1042939,1.1021,4108,3149
2017 Q3,42.44836956521739,6446,19980.9,8498.8,6466.5,19393.7,19192.8,236039,216218,28557,264878,971832,1.1746,3236,2872
2017 Q4,41.35304347826087,7120,19634.9,9588,7357.6,21654.3,21081,244780,224717,29939,271503,1017552,1.1774,3781,2976
2018 Q1,38.21044444444445,7260,18296.8,8665,6547.9,20318.6,20003.7,251200,230117,31273,275742,1036895,1.2292,2524,1886
2018 Q2,38.84,6345,20167,9245.4,7042.2,21845.3,20928.3,256942,235217,32094,278137,1061500,1.1915,2690,1697
2018 Q3,57.13923913043478,6430,21392.8,9173.2,6991.8,20929.3,20485.9,240187,220077,29887,268698,992997,1.1629,3172,2359
2018 Q4,59.35934782608696,6962,20660.8,10260.6,7882.5,23039,23035.7,245806,225739,31021,272898,1031937,1.1414,4041,2804
2019 Q1,45.84822222222222,7320,19517.1,9324.6,7003.5,21862.5,21577,250898,229813,32326,271071,1040279,1.1358,3732,3369
2019 Q2,37.25582417582417,6566,21194.6,10113,7667.3,21661.4,21462.1,253332,232810,32472,272183,1054988,1.1237,2951,2624
2019 Q3,42.02695652173913,6517,22109.4,9852,7476.5,20718.9,20942.7,239786,220066,31206,272441,1006700,1.1119,3422,2881
2019 Q4,40.94130434782609,7041,21603.4,10938.8,8347.4,22546.4,22501.4,239954,219951,31690,275290,1035261,1.1071,3431,2963
2020 Q1,33.59340659340659,7183,19751.2,9893.7,7390.3,20531.5,20962.6,236076,215331,33954,252749,1000162,1.1027,4183,4037
2020 Q2,21.28186813186813,5784,19575.7,9826,7468.5,15775,15414.3,201808,182689,32208,215983,875818,1.1014,2648,2737
2020 Q3,37.56663043478261,6135,22406.7,9943.6,7562.3,20583.1,19436.1,220065,201152,30447,250061,944647,1.1689,2716,2690
2020 Q4,43.47282608695652,7054,22042.6,11340.2,8633.6,22590.2,22150.4,224677,206130,31853,237329,950664,1.1929,3738,3503
2021 Q1,53.428111111111114,7298,20224,10043.5,7461.8,22743.6,21942.1,225243,205860,33782,223817,921683,1.2048,2379,2498
2021 Q2,65.36923076923077,6735,22215.8,10704.3,8091.5,22649.4,22760.3,230355,210652,34159,245993,982025,1.2058,2692,2388
2021 Q3,101.19978260869566,6621,23604,10587,8013.7,21709,22063,217614,199059,31258,247519,931977,1.1788,3656,3659
2021 Q4,189.5461956521739,7451,23420.1,12050.3,9187,25550.6,25898,220565,202097,32888,238517,940337,1.1435,5155,4550
2022 Q1,216.54222222222222,7206,21823.8,10803,8127.3,26065.7,27548.1,235232,215003,35437,252697,992292,1.1217,4629,4305
2022 Q2,204.65186813186813,6344,24269.6,11473.7,8770.1,27048.9,28117.5,239702,219094,36487,259511,1024788,1.0647,4040,3311
2022 Q3,416.12717391304346,5800,26023.5,11571.8,8786.6,27004.5,28358.2,220882,202098,32928,248821,946556,1.007,3744,3305
2022 Q4,220.66239130434784,6124,25648,12856.2,9866.2,28506.9,30922.4,223190,204525,33397,250100,973602,1.0205,4294,4397
2023 Q1,134.58444444444444,6472,25350,11750.6,8892,28492.9,28178.3,239157,219149,36013,257825,1019694,1.073,3226,3731
