date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,40.13711111111111,3551,7850,4522.6,3862.9,7136.1,6444.4,88907,79843,11724,82602,397450,1.1261,2212,2129
2015 Q2,33.105164835164835,3272,8517.2,4894.1,4223.9,7505.4,6746.2,88891,79805,11436,81485,394095,1.1053,2557,2228
2015 Q3,47.80717391304348,3335,8625.1,4631.4,3958.7,7656.1,6767.9,81788,73728,11127,78472,378446,1.1117,1894,2251
2015 Q4,44.49293478260869,3543,8599.4,4887.3,4178.4,7676.8,6906.9,94720,84844,12602,88271,422597,1.0953,2382,2486
2016 Q1,32.346593406593406,3614,8156.9,4745.1,4060.6,7420.9,6517.8,90138,81322,11640,82232,395294,1.102,2197,2282
2016 Q2,28.923846153846153,3328,8915,5209.1,4519.4,7914.1,6995.6,93365,84051,12027,84527,411255,1.1292,2012,2625
2016 Q3,35.34217391304348,3332,8989.4,4887,4194.7,7971.7,7023.3,81854,74256,11525,78386,372953,1.1166,1956,2566
2016 Q4,45.756521739130434,3607,8968.3,5124.9,4392.2,8076.6,7393.2,92146,83012,12371,86387,408733,1.0789,2193,2063
2017 Q1,55.779444444444444,3461.3099999999995,8593.8,5005.2,4287.5,8399.5,7562.2,93910,85229,12376,86643,409599,1.0648,2199.497,2168.081
2017 Q2,40.89230769230769,3292.2,9445.7,5529.9,4798.1,8883.4,7882.6,93009,84211,12034,84991,408308,1.1021,2543.207,2580.723
2017 Q3,49.86826086956522,3300.2599999999998,9578.9,5200.6,4462.3,9152.3,7971.2,83803,75888,11559,79891,377164,1.1746,2053.0480000000002,2498.79
2017 Q4,51.58054347826087,3442.22,9751.5,5510.4,4722.4,9318.2,8476.5,93550,84592,12430,87261,409274,1.1774,2336.7799999999997,2400.599
2018 Q1,41.120333333333335,3563.41,9170.9,5381.6,4602.8,9150.8,8298.3,96895,88172,12785,86143,414156,1.2292,2391.0150000000003,2491.47
2018 Q2,41.24824175824176,3341.86,10066.8,5968,5178.5,9805.7,8754.4,94686,86100,12337,84431,411578,1.1915,2464.897,2419.111
2018 Q3,58.78141304347826,3335.0999999999995,10316.7,5527.3,4736.5,9864.5,8714,85599,78137,11750,81007,383311,1.1629,1877.179,2075.93
2018 Q4,63.19380434782609,3408.8999999999996,10406.9,5941.4,5090.5,10078.7,9259.8,97309,88531,13185,90706,427300,1.1414,2197.147,2445.893
2019 Q1,52.77066666666666,3497.7200000000003,9811.5,5826,4983.3,9771.5,8823.3,97572,89009,13068,88633,421348,1.1358,2503.782,2295.1229999999996
2019 Q2,42.30934065934066,3309.88,10687.3,6541.7,5691.3,10461.5,9268.4,97628,89060,12922,88116,424763,1.1237,2318.268,2764.18
2019 Q3,53.69913043478261,3214.95,10953.7,5948.6,5095.4,10251.5,9238.5,88295,80728,12378,84743,396710,1.1119,2116.42,2197.934
2019 Q4,46.21923913043478,3383.67,10933.6,6265.4,5360,10137.4,9118,98412,89629,13687,92271,432192,1.1071,2082.803,2163.439
2020 Q1,39.644505494505495,3474.77,10120.8,6036.1,5161.5,9641.4,8557,95638,86849,13476,86589,417881,1.1027,2375.938,2007.353
2020 Q2,24.274065934065934,2890.59,9767.9,6545.5,5656,7869.9,6904,81395,73159,12191,69182,361595,1.1014,1549.404,2136.37
2020 Q3,39.49228260869565,3080.96,10795.3,6002.3,5133,9192.3,7944.2,85792,77854,13114,84868,399237,1.1689,1593.603,2484.326
2020 Q4,46.66619565217391,3310.8199999999997,10884.8,6629.2,5654.4,9850.6,8801.6,97631,88511,14256,75953,412805,1.1929,1601.006,2495.0060000000003
2021 Q1,54.757,3407.2299999999996,10265,6521.7,5560.6,9848.8,8741.8,94116,85635,13905,74486,405035,1.2048,2063.195,2365.235
2021 Q2,67.53065934065934,3215.8899999999994,11546.5,7403.7,6418.4,10693.8,9789.6,95683,87098,13926,78268,411914,1.2058,2023.522,1972.4470000000001
2021 Q3,112.3275,3129.47,11815,6618.8,5654.3,10967.4,10203,93893,85608,14139,87830,420407,1.1788,2012.1770000000001,2204.0609999999997
2021 Q4,223.73184782608695,3436.7799999999997,12253.5,6998.7,5968.7,12151.5,11617.4,101218,92002,14730,92321,440341,1.1435,2288.259,2115.828
2022 Q1,233.132,3459.9399999999996,11733.1,6812.8,5824.7,12102,12066.3,97796,89068,15153,90896,435037,1.1217,2379.594,2046.584
2022 Q2,213.49362637362637,3152.9700000000003,13268.1,7848.7,6821.9,13667.1,13505.9,98578,89849,15335,87907,434332,1.0647,2394.364,2405.013
2022 Q3,421.62326086956523,2969.88,13543.6,7134.7,6099.7,14058.1,13447.2,94068,85877,14660,92784,426292,1.007,2254.99,2159.343
2022 Q4,228.01500000000001,3089.68,13655.8,7659.7,6542.3,13486.7,13333.9,103627,94253,15602,94460,450583,1.0205,3169.295,2141.386
2023 Q1,134.93733333333333,3244.72,13474.3,7733.7,6623.3,13346.6,12343.1,104328,95016,16758,96902,463862,1.073,2719.772,2475.23
