date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,45.849222222222224,66374,230059,116366,90035,83760,79363,899215,798763,187771,2435943,7808051,1.1261,2695,3912
2015 Q2,48.38978021978022,62660,247108,125684,98572,92996,83093,930638,830181,200154,2572938,8139591,1.1053,3063,3194
2015 Q3,55.71141304347826,68784,241533,120628,94003,95307,82591,853999,761000,185374,2485017,7443618,1.1117,3227,3832
2015 Q4,51.229891304347824,64224,260271,130214,103381,90293,84551,922880,822578,202233,2510657,7936541,1.0953,4939,3159
2016 Q1,30.663846153846155,67364,238744,118736,91985,85120,79534,927521,827216,197710,2511142,8056091,1.102,5702,3723
2016 Q2,29.569890109890107,63446,255626,128365,100840,97815,83880,977207,873476,210285,2650548,8420773,1.1292,4986,3247
2016 Q3,41.73478260869565,68821,249991,123522,95875,98622,81582,876035,780827,189809,2556117,7620781,1.1166,5546,2499
2016 Q4,56.497173913043476,65439,266907,133101,105190,95813,87964,950371,846904,205663,2543734,8034920,1.0789,5064,4202
2017 Q1,55.58144444444444,61122.06,247121,122850,94855,95504,91275,971996,869610,211802,2551995,8299514,1.0648,5661,4194
2017 Q2,47.02307692307692,58488.479999999996,266721,133165,104330,104741,89905,986032,884845,222947,2681274,8520249,1.1021,6708,3098
2017 Q3,48.40597826086957,62300.5,260310,128998,99922,105019,89792,889404,796711,205695,2596017,7777970,1.1746,6880.73,2397.259
2017 Q4,57.93836956521739,60725.71,279653,138652,109661,103126,95521,970606,868529,221645,2568787,8204420,1.1774,4365.827,4771.376
2018 Q1,48.141,63023.86,255993,127320,98370,97531,94099,986599,883877,222254,2564547,8392700,1.2292,6303.548000000001,4379.649
2018 Q2,52.07065934065934,57991.2,275471,138223,108208,110388,98334,1024015,921504,230770,2744101,8827885,1.1915,6597.6140000000005,2483.007
2018 Q3,65.76554347826087,62683.630000000005,268519,135068,104462,109119,97124,904263,809882,211058,2658366,7988012,1.1629,6545.71,2283.499
2018 Q4,62.9704347826087,59724.3,289437,145107,114318,106059,100853,966271,863568,231285,2637285,8419766,1.1414,4571.033,3769.6349999999998
2019 Q1,54.96944444444444,61216.649999999994,267000,135733,104133,100372,97618,1005548,901690,227458,2671336,8705886,1.1358,6067.833999999999,3417.527
2019 Q2,48.65,57421.03,286568,147725,115051,112926,98752,1022700,916520,238362,2760573,8845221,1.1237,4514.215,2138.419
2019 Q3,46.22684782608696,61648.509999999995,277191,142720,109817,112496,100212,939040,841113,216168,2655954,8013365,1.1119,3765.984,2662.117
2019 Q4,41.037608695652175,59249.12,298860,153224,119268,108976,101571,1008612,899920,233466,2691127,8541875,1.1071,4372.807,3640.452
2020 Q1,34.870439560439564,59398.19,258317,139659,107545,95406,92488,993205,887004,233842,2463935,8232314,1.1027,5859.419,2847.483
2020 Q2,23.17120879120879,49321.44,231330,129901,99391,69112,65104,839882,740914,227395,1599271,6572214,1.1014,4455.741,3270.7329999999997
2020 Q3,37.54641304347826,59367.89,255574,137288,104199,85798,81051,889627,789528,207078,2310951,7420742,1.1689,3085.547,4401.687
2020 Q4,40.14141304347826,57586.82000000001,274844,148827,113559,94024,89411,965955,859850,238031,2270582,8008475,1.1929,4527.657,4128.877
2021 Q1,45.24666666666667,59644.16,248915,137738,105307,90933,88844,930377,832223,234531,2209131,7944511,1.2048,4648.891,4406.715
2021 Q2,71.80043956043956,55193.33,271481,145623,112434,102146,96984,999720,903670,242810,2531901,8573831,1.2058,4967.355,3423.5280000000002
2021 Q3,117.87065217391304,59565.899999999994,268692,145191,109789,108466,101492,865249,767429,238098,2423667,7679729,1.1788,5076.349,3307.857
2021 Q4,210.97510869565218,57239.880000000005,301835,156414,119931,120047,116348,928358,825145,250349,2490772,8208171,1.1435,2695.5730000000003,5368.06
2022 Q1,229.37122222222223,58168.64,274079,146112,111676,119773,121893,946890,850577,261877,2506114,8504070,1.1217,3149.7660000000005,5671.419
2022 Q2,182.75395604395604,55363.12000000001,299837,156432,120508,143095,136906,1000343,904207,257083,2756101,8831247,1.0647,1765.909,6125.0380000000005
2022 Q3,146.25260869565219,59512.28999999999,298010,153661,117186,144705,138078,888973,792561,255017,2574204,7961705,1.007,539.37,8636.824
2022 Q4,113.15391304347827,53307.09,334609,166498,128668,143858,135849,943535,843704,255562,2637518,8421998,1.0205,2576.9809999999998,7393.592000000001
2023 Q1,96.40266666666668,56653.92999999999,304250,155398,118208,140030,127849,973551,881564,259342,2606575,8644929,1.073,2459.009,6911.41
