date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,28.537777777777777,39556,96383.5,50878.3,42547.3,47657.1,43508.6,280590,252830,74660,386720,1961790,1.1261,2705,7162
2015 Q2,21.40087912087912,31052,104313.7,54550.4,45686.2,50788.9,45651.6,273590,246890,77240,401720,2013890,1.1053,2007,7934
2015 Q3,15.414021739130435,28340,97491.4,53319.4,44638.6,48244.5,44179.6,226670,200860,66540,407620,1693240,1.1117,2002,9037
2015 Q4,22.82673913043478,36938,106923.6,53756.7,44962.9,52721.2,48711.8,275320,244320,79700,428130,2043860,1.0953,2578,7760
2016 Q1,24.004395604395604,42085,100077.1,53695,44892,47379.6,43748.2,275760,246950,71440,389950,1967640,1.102,3746,8009
2016 Q2,26.46956043956044,30588,108398.5,56853.6,47638.4,50473.2,46627.7,281850,254140,76160,424490,2143830,1.1292,3727,6923
2016 Q3,29.570326086956523,28049,98773.7,55332.2,46389.5,47782.3,45096.7,223550,197340,65770,404030,1714830,1.1166,3399,6404
2016 Q4,36.83152173913044,38497,105795.5,54240.1,45369.6,53314.3,49203.3,277390,245640,74380,435520,2094900,1.0789,3415,4687
2017 Q1,31.96022222222222,37666.67,103646.5,55173.4,46153,51044.5,48388.6,295560,266210,76980,413420,2080540,1.0648,2395.2799999999997,7301.0740000000005
2017 Q2,28.597472527472526,29302.7,108694.9,57203.4,48027,53002.7,48936.3,277020,249920,72960,420530,2086480,1.1021,2803.8109999999997,8155.449999999999
2017 Q3,33.536086956521736,26645.690000000002,103045.4,57825.9,48567.5,50460.7,48351.3,228120,202420,66630,404850,1740760,1.1746,3513.79,7829.018
2017 Q4,31.234021739130434,35624.39,109988.6,56456.2,47379.9,55304.1,51994.1,282590,251730,77660,445060,2145080,1.1774,3182.9570000000003,7602.692999999999
2018 Q1,39.06811111111111,40092.020000000004,103374.9,55649.5,46139.9,52062.2,49522.1,290450,260840,78970,416780,2092690,1.2292,3867.923,7048.719
2018 Q2,38.878461538461536,28513.14,106876.2,57162.4,47594.6,53477.4,51046.9,282430,253800,80060,432200,2168960,1.1915,1839.824,8352.714
2018 Q3,52.326521739130435,26351.85,97936.5,56059.7,46675.4,51528.3,49288.5,224310,198290,68170,407300,1754770,1.1629,3283.885,6177.704
2018 Q4,48.775978260869564,35217.44,109007.9,56336.1,46869.6,57941.5,54630.9,278500,247260,78540,454460,2163570,1.1414,3209.8280000000004,7845.617
2019 Q1,46.45622222222222,37860.28,104084.7,55566.4,46127.9,55783.7,51240.5,292420,262290,82250,420460,2115840,1.1358,2894.593,8292.03
2019 Q2,33.28252747252747,28415.07,108277.3,57679,48119.5,58501.8,52312.9,278080,249510,79500,419420,2127570,1.1237,1037.4969999999998,9345.092
2019 Q3,35.90630434782609,26375.91,101328.6,56720.5,47288.3,55460.8,50687.9,230580,202990,71460,413030,1779970,1.1119,2875.984,8637.565999999999
2019 Q4,38.633478260869566,34873.25,109833.8,56182.4,46821.1,58242.2,53796.1,274790,242450,85020,442250,2132910,1.1071,2262.336,8956.268
2020 Q1,18.393076923076922,36301.619999999995,104666.4,56143.7,46671,55069,49496.1,287060,256160,84610,411000,2096750,1.1027,1692.718,10501.541
2020 Q2,14.186153846153847,28299.04,101944.6,57397.1,47627.5,46704.9,42691.4,256390,226750,80270,365600,2020540,1.1014,2743.9710000000005,8088.634000000001
2020 Q3,25.33141304347826,25477.59,104099.5,58302.1,48400.9,49752.2,45162.4,213490,185070,71590,373340,1696900,1.1689,4139.724,8905.774
2020 Q4,24.976521739130437,32809.22,115997.8,58969.6,49012.5,59278.6,51863.7,268220,235320,85550,409660,2081070,1.1929,3250.518,9327.947
2021 Q1,44.955888888888886,40070,113374.2,61343.3,50697.1,58023.8,51132.2,287110,254400,89430,385020,2058620,1.2048,3200,8123
2021 Q2,40.41230769230769,29922,120647.4,64528.3,53544.4,61914.4,54818.5,284940,254030,89320,384440,2138750,1.2058,1690,8372
2021 Q3,71.48445652173913,27005,116271,63620.4,52863.4,60222.8,55183.1,226680,197580,75490,388620,1757380,1.1788,1583,7857
2021 Q4,99.85326086956523,36624.07,129999,63904.8,53049.6,71288.2,64635.5,276480,243140,88000,430390,2146070,1.1435,1867,9559
2022 Q1,88.00744444444445,37727,118418.1,62218.7,51781.7,69229.5,64270.2,286260,253110,88910,405260,2087390,1.1217,1321,9523
2022 Q2,97.8867032967033,29107,128787.1,66559.7,55516.6,74043.8,71782.7,286740,255420,92230,408980,2173810,1.0647,1460,9388
2022 Q3,151.2470652173913,26186,122881.2,64834.5,54078.3,72539.4,70682.4,229690,199900,80750,405100,1811960,1.007,910,11046
2022 Q4,140.8620652173913,33773.7,129074.5,62579.3,52199.7,80456.1,74173.1,280060,245660,93600,444030,2213130,1.0205,2486,9108
2023 Q1,73.713,36011,122725.1,61835.8,51211.8,74432.7,68474.2,302880,267530,93610,432580,2222640,1.073,1517,9602
