unit,geo\time	2023M04 	2023M03 	2023M02 	2023M01 	2022M12 	2022M11 	2022M10 	2022M09 	2022M08 	2022M07 	2022M06 	2022M05 	2022M04 	2022M03 	2022M02 	2022M01 	2021M12 	2021M11 	2021M10 	2021M09 	2021M08 	2021M07 	2021M06 	2021M05 	2021M04 	2021M03 	2021M02 	2021M01 	2020M12 	2020M11 	2020M10 	2020M09 	2020M08 	2020M07 	2020M06 	2020M05 	2020M04 	2020M03 	2020M02 	2020M01 	2019M12 	2019M11 	2019M10 	2019M09 	2019M08 	2019M07 	2019M06 	2019M05 	2019M04 	2019M03 	2019M02 	2019M01 	2018M12 	2018M11 	2018M10 	2018M09 	2018M08 	2018M07 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2014M12 	2014M11 	2014M10 	2014M09 	2014M08 	2014M07 	2014M06 	2014M05 	2014M04 	2014M03 	2014M02 	2014M01 	2013M12 	2013M11 	2013M10 	2013M09 	2013M08 	2013M07 	2013M06 	2013M05 	2013M04 	2013M03 	2013M02 	2013M01 	2012M12 	2012M11 	2012M10 	2012M09 	2012M08 	2012M07 	2012M06 	2012M05 	2012M04 	2012M03 	2012M02 	2012M01 	2011M12 	2011M11 	2011M10 	2011M09 	2011M08 	2011M07 	2011M06 	2011M05 	2011M04 	2011M03 	2011M02 	2011M01 	2010M12 	2010M11 	2010M10 	2010M09 	2010M08 	2010M07 	2010M06 	2010M05 	2010M04 	2010M03 	2010M02 	2010M01 	2009M12 	2009M11 	2009M10 	2009M09 	2009M08 	2009M07 	2009M06 	2009M05 	2009M04 	2009M03 	2009M02 	2009M01 	2008M12 	2008M11 	2008M10 	2008M09 	2008M08 	2008M07 	2008M06 	2008M05 	2008M04 	2008M03 	2008M02 	2008M01 
GWH,AL	: 	623.78 	621.10 	673.28 	594.12 	519.97 	446.70 	462.38 	554.87 	571.24 	543.47 	526.35 	563.20 	663.32 	628.76 	668.34 	705.91 	573.07 	552.89 	530.82 	632.62 	616.09 	547.89 	540.12 	594.41 	617.12 	597.97 	656.63 	664.89 	558.85 	511.87 	507.92 	540.98 	530.68 	481.08 	476.00 	474.19 	543.26 	576.75 	620.44 	601.75 	495.91 	465.22 	493.02 	578.11 	550.73 	527.61 	518.80 	528.04 	559.64 	545.85 	631.70 	653.74 	528.98 	497.16 	475.65 	550.17 	517.48 	479.55 	476.89 	465.57 	564.34 	542.05 	588.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GWH,AT	4908.55 	5440.09 	5240.43 	5787.02 	5788.71 	5395.31 	5021.19 	4961.22 	4923.90 	5000.56 	4959.55 	5067.91 	5254.95 	5889.35 	5572.22 	6241.16 	6194.28 	5889.14 	5534.87 	5138.26 	5125.44 	5238.89 	5139.67 	5200.38 	5292.22 	5837.98 	5417.16 	6061.71 	5948.68 	5653.94 	5569.59 	5070.66 	4984.92 	5016.11 	4715.88 	4748.62 	4553.69 	5536.45 	5637.26 	6191.46 	5970.17 	5692.27 	5510.26 	5129.62 	5108.13 	5238.94 	5028.37 	5355.76 	5245.66 	5765.68 	5573.69 	6392.33 	6077.26 	5747.57 	5500.70 	5080.33 	5158.12 	5155.17 	5104.72 	5128.40 	5088.12 	6142.65 	5784.10 	6112.77 	6044.64 	5829.19 	5416.88 	5204.86 	5100.82 	5128.01 	5001.53 	5091.38 	5137.28 	5701.38 	5573.77 	6487.45 	6372.00 	6097.00 	5777.00 	5341.00 	5229.00 	5360.00 	5317.00 	5324.00 	5361.00 	6067.00 	5888.00 	6397.00 	6067.00 	5843.00 	5666.00 	5371.00 	5294.00 	5450.00 	5260.00 	5334.00 	5395.00 	6044.00 	5857.00 	6340.00 	6072.00 	5693.00 	5690.00 	5364.00 	5180.00 	5409.00 	5152.00 	5362.00 	5360.00 	5839.00 	5652.00 	6237.00 	6100.00 	5890.00 	5747.00 	5283.00 	5209.00 	5360.00 	5204.00 	5241.00 	5422.00 	6103.00 	5812.00 	6338.00 	6126.00 	5744.00 	5629.00 	5200.00 	5243.00 	5318.00 	5172.00 	5245.00 	5298.00 	5881.00 	6184.00 	6184.00 	6042.00 	5814.00 	5600.00 	5307.00 	5229.00 	5264.00 	5070.00 	5294.00 	5228.00 	6003.00 	5723.00 	6236.00 	6362.00 	5771.00 	5647.00 	5255.00 	5101.00 	5255.00 	5116.00 	5165.00 	5230.00 	5900.00 	5617.00 	6191.00 	5960.00 	5577.00 	5486.00 	5075.00 	4871.00 	5052.00 	4846.00 	4896.00 	4883.00 	5719.00 	5474.00 	6083.00 	5786.00 	5634.00 	5630.00 	5343.00 	5086.00 	5297.00 	5210.00 	5218.00 	5438.00 	5878.00 	5725.00 	6187.00 
GWH,BA	: 	968.94 	986.65 	1060.13 	1066.79 	973.10 	920.47 	863.08 	892.76 	912.21 	827.18 	827.50 	892.47 	1033.81 	949.59 	1083.10 	1067.65 	955.59 	939.90 	889.03 	949.90 	939.74 	848.93 	832.25 	919.40 	1025.02 	924.44 	1043.15 	1045.63 	975.64 	892.81 	807.80 	817.48 	855.12 	780.61 	770.76 	797.60 	898.19 	945.99 	1104.00 	1081.47 	938.65 	926.40 	852.96 	915.01 	909.02 	933.19 	972.69 	961.19 	1006.86 	1001.70 	1189.72 	: 	: 	: 	: 	: 	: 	: 	920.33 	945.73 	1154.49 	977.24 	1120.81 	: 	: 	: 	: 	999.38 	1010.72 	955.44 	925.63 	979.29 	1015.06 	1017.98 	1273.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GWH,BE	: 	6491.12 	6156.56 	6855.30 	6646.81 	6109.91 	6055.38 	5983.64 	6169.37 	6010.17 	6158.27 	6306.09 	6343.92 	6729.61 	6681.21 	7460.89 	7367.95 	7024.46 	6884.75 	6460.11 	6400.29 	6353.60 	6427.15 	6587.67 	6720.06 	7071.97 	6777.26 	7661.80 	7225.93 	6711.45 	6736.04 	6324.41 	6364.32 	6139.20 	6117.24 	6071.53 	5787.63 	6807.62 	6995.12 	7510.72 	7199.91 	7049.16 	6826.44 	6349.65 	6242.49 	6160.42 	6132.19 	6415.35 	6391.47 	6993.84 	6688.51 	7598.43 	7194.76 	6949.91 	6773.29 	6254.32 	6385.82 	6441.42 	6355.80 	6496.64 	6427.92 	7454.69 	7130.65 	7492.47 	7439.22 	7067.31 	6842.77 	6348.50 	6283.77 	6159.81 	6322.47 	6425.01 	6480.25 	7034.12 	6778.64 	7821.64 	7704.00 	7349.00 	7095.00 	6618.00 	6564.00 	6356.00 	6491.00 	6635.00 	6833.00 	7511.00 	7293.00 	7749.00 	7290.00 	7165.00 	7198.00 	6726.00 	6610.00 	6451.00 	6566.00 	6663.00 	6798.00 	7539.00 	7220.00 	7878.00 	7595.00 	7037.00 	7151.00 	6632.00 	6511.00 	6501.00 	6484.00 	6751.00 	6738.00 	7304.00 	7058.00 	7795.00 	7551.00 	7461.00 	7194.00 	6679.00 	6498.00 	6511.00 	6489.00 	6766.00 	6923.00 	7726.00 	7037.00 	7953.00 	7412.00 	7030.00 	6766.00 	6457.00 	6218.00 	6205.00 	6475.00 	6684.00 	6849.00 	7415.00 	7877.00 	7826.00 	7551.00 	7112.00 	7136.00 	6714.00 	6621.00 	6500.00 	6718.00 	6957.00 	6783.00 	7637.00 	7301.00 	8556.00 	8392.00 	7637.00 	7372.00 	6893.00 	6672.00 	6647.00 	6919.00 	7056.00 	7057.00 	7758.00 	7458.00 	8310.00 	7794.00 	7202.00 	7276.00 	6754.00 	6438.00 	6303.00 	6388.00 	6479.00 	6422.00 	7189.00 	7116.00 	7968.00 	7502.00 	7372.00 	7576.00 	7142.00 	6833.00 	6895.00 	7029.00 	7222.00 	7547.00 	8047.00 	7932.00 	8400.00 
GWH,BG	: 	2822.13 	2941.25 	3080.42 	2967.92 	2563.55 	2314.38 	2185.17 	2403.42 	2445.54 	2257.06 	2299.64 	2449.02 	3134.05 	2784.08 	3263.43 	3086.54 	2661.14 	2530.74 	2236.58 	2551.74 	2567.36 	2328.04 	2257.19 	2623.78 	3028.85 	2803.77 	3123.58 	2949.28 	2737.87 	2379.93 	2241.83 	2321.96 	2378.53 	2159.04 	2166.81 	2349.46 	2757.34 	2865.71 	3242.10 	2985.72 	2566.60 	2387.82 	2284.32 	2448.90 	2465.84 	2320.86 	2350.69 	2478.09 	2649.19 	2806.37 	3327.90 	3215.68 	2738.45 	2414.58 	2235.79 	2361.97 	2317.10 	2212.14 	2155.30 	2036.72 	2784.99 	2801.70 	3104.09 	2904.05 	2682.64 	2438.81 	2262.46 	2397.18 	2393.50 	2200.92 	2233.00 	2398.72 	2618.42 	2847.53 	3514.93 	3507.00 	2933.00 	2701.00 	2410.00 	2516.00 	2548.00 	2381.00 	2384.00 	2373.00 	2896.00 	2872.00 	3633.00 	3076.00 	2693.00 	2631.00 	2395.00 	2534.00 	2611.00 	2307.00 	2306.00 	2579.00 	3104.00 	3048.00 	3491.00 	3273.00 	2966.00 	2665.00 	2375.00 	2488.00 	2501.00 	2370.00 	2431.00 	2560.00 	2799.00 	2898.00 	3346.00 	3378.00 	2759.00 	2599.00 	2308.00 	2455.00 	2455.00 	2331.00 	2267.00 	2639.00 	3144.00 	3066.00 	3495.00 	3394.00 	2781.00 	2419.00 	2285.00 	2515.00 	2602.00 	2389.00 	2368.00 	2444.00 	3121.00 	3636.00 	3619.00 	3316.00 	3161.00 	2748.00 	2353.00 	2480.00 	2499.00 	2363.00 	2297.00 	2502.00 	3174.00 	3176.00 	3541.00 	3219.00 	2545.00 	2721.00 	2212.00 	2495.00 	2401.00 	2291.00 	2303.00 	2460.00 	3041.00 	3074.00 	3496.00 	3253.00 	2813.00 	2617.00 	2304.00 	2406.00 	2461.00 	2292.00 	2311.00 	2436.00 	3122.00 	3098.00 	3627.00 	3320.00 	3000.00 	2695.00 	2480.00 	2560.00 	2540.00 	2393.00 	2449.00 	2593.00 	2923.00 	3281.00 	3808.00 
GWH,CY	: 	344.14 	402.74 	410.44 	351.58 	329.67 	380.71 	463.40 	536.27 	561.16 	424.63 	358.88 	316.23 	443.61 	382.19 	467.95 	399.49 	334.30 	374.86 	450.83 	596.72 	587.90 	408.17 	351.80 	299.32 	347.75 	337.70 	390.30 	381.53 	341.42 	386.04 	495.13 	509.10 	507.54 	351.63 	321.86 	256.18 	334.20 	391.90 	425.04 	371.28 	325.56 	380.08 	459.01 	538.29 	534.95 	439.07 	361.54 	314.17 	352.78 	363.49 	442.70 	378.55 	334.24 	382.41 	454.43 	519.67 	534.08 	428.93 	390.76 	315.50 	325.89 	331.37 	395.25 	370.41 	327.05 	360.23 	450.50 	509.33 	558.25 	397.44 	341.59 	302.03 	339.01 	358.53 	426.49 	410.00 	312.00 	359.00 	420.00 	510.00 	517.00 	422.00 	330.00 	296.00 	311.00 	320.00 	382.00 	347.00 	290.00 	344.00 	434.00 	486.00 	445.00 	336.00 	311.00 	280.00 	307.00 	323.00 	357.00 	322.00 	293.00 	328.00 	390.00 	460.00 	454.00 	361.00 	312.00 	274.00 	288.00 	278.00 	321.00 	332.00 	276.00 	305.00 	360.00 	443.00 	441.00 	357.00 	320.00 	268.00 	290.00 	286.00 	343.00 	319.00 	291.00 	341.00 	405.00 	481.00 	506.00 	360.00 	331.00 	292.00 	330.00 	365.00 	408.00 	377.00 	338.00 	344.00 	392.00 	418.00 	444.00 	413.00 	365.00 	338.00 	381.00 	396.00 	435.00 	383.00 	345.00 	396.00 	480.00 	590.00 	522.00 	426.00 	364.00 	323.00 	358.00 	372.00 	415.00 	401.00 	343.00 	389.00 	429.00 	517.00 	541.00 	445.00 	348.00 	303.00 	369.00 	361.00 	408.00 	378.00 	316.00 	352.00 	431.00 	511.00 	520.00 	419.00 	338.00 	304.00 	321.00 	393.00 	436.00 
GWH,CZ	: 	5357.76 	5181.34 	5634.08 	5518.71 	5207.59 	4788.94 	4565.78 	4495.15 	4356.11 	4600.79 	4811.28 	5108.15 	5720.84 	5327.46 	6035.24 	5813.64 	5577.90 	5168.44 	4683.32 	4585.70 	4563.71 	4718.81 	5055.05 	5233.45 	5852.02 	5659.64 	6084.64 	5620.96 	5447.44 	5202.35 	4673.72 	4520.96 	4443.02 	4410.87 	4465.52 	4385.87 	5494.87 	5500.09 	6046.77 	5538.54 	5479.20 	5223.53 	4724.16 	4662.25 	4583.68 	4674.03 	5081.29 	4987.52 	5587.59 	5445.05 	6230.19 	5666.72 	5587.60 	5248.38 	4643.54 	4774.11 	4586.61 	4681.79 	4823.04 	4821.88 	6013.26 	5649.19 	5922.15 	5635.76 	5577.76 	5244.12 	4746.67 	4650.57 	4439.91 	4634.41 	4883.91 	5011.04 	5517.41 	5423.97 	6358.72 	6110.00 	5902.00 	5561.00 	4942.00 	4835.00 	4639.00 	4811.00 	5114.00 	5228.00 	5815.00 	5606.00 	6269.00 	5627.00 	5556.00 	5509.00 	4866.00 	4642.00 	4861.00 	4788.00 	4971.00 	5202.00 	5777.00 	5585.00 	6034.00 	5653.00 	5414.00 	5258.00 	4816.00 	4590.00 	4765.00 	5056.00 	5023.00 	5007.00 	5420.00 	5303.00 	5904.00 	5651.00 	5572.00 	5320.00 	4816.00 	4667.00 	4557.00 	4609.00 	4842.00 	5101.00 	5915.00 	5519.00 	6119.00 	5724.00 	5520.00 	5381.00 	4714.00 	4677.00 	4597.00 	4649.00 	4818.00 	5089.00 	5595.00 	6165.00 	6029.00 	5718.00 	5718.00 	5307.00 	4714.00 	4754.00 	4555.00 	4685.00 	4937.00 	4974.00 	5791.00 	5687.00 	6152.00 	6252.00 	5539.00 	5460.00 	4893.00 	4700.00 	4337.00 	4715.00 	4980.00 	5063.00 	5833.00 	5667.00 	6305.00 	5831.00 	5480.00 	5351.00 	4647.00 	4507.00 	4476.00 	4499.00 	4599.00 	4625.00 	5715.00 	5560.00 	6292.00 	5688.00 	5636.00 	5530.00 	5080.00 	4757.00 	4821.00 	4784.00 	5111.00 	5492.00 	6019.00 	5878.00 	6352.00 
GWH,DE	: 	38715.77 	36169.27 	39267.09 	36419.71 	36779.40 	36512.44 	35278.98 	36848.93 	37585.49 	36447.98 	37844.80 	37996.22 	40949.24 	39320.53 	41627.10 	40424.72 	40746.19 	39866.62 	37118.26 	37459.23 	38068.72 	37549.21 	37833.09 	38347.11 	41000.87 	38432.56 	41251.89 	38975.98 	39403.68 	39381.73 	36336.99 	36800.00 	36462.71 	34648.21 	33940.48 	33691.74 	40080.32 	40094.89 	41377.86 	38977.88 	40367.60 	39703.36 	37295.80 	38196.72 	38918.76 	37125.16 	39473.80 	38344.90 	42101.52 	39282.43 	43146.66 	40976.24 	41295.43 	40811.18 	38380.76 	40911.68 	40408.16 	39134.12 	39403.39 	39023.91 	43739.63 	40246.96 	43871.61 	42817.04 	41938.95 	40554.37 	39229.87 	39816.40 	39099.06 	38157.07 	39615.96 	38904.43 	42711.61 	39758.57 	44805.42 	40450.00 	40559.00 	38345.00 	36598.00 	36616.00 	37204.00 	38267.00 	36866.00 	37701.00 	40799.00 	40585.00 	42339.00 	40306.00 	41412.00 	40338.00 	37953.00 	37357.00 	39186.00 	36937.00 	36963.00 	37905.00 	42274.00 	39520.00 	42960.00 	40006.00 	38663.00 	38401.00 	36012.00 	35766.00 	38011.00 	34631.00 	36232.00 	36206.00 	39520.00 	38118.00 	42184.00 	40460.00 	40582.00 	39976.00 	37179.00 	36511.00 	38159.00 	37037.00 	37395.00 	39197.00 	43305.00 	40592.00 	44263.00 	40278.00 	41404.00 	40474.00 	37118.00 	37877.00 	37789.00 	37725.00 	38249.00 	38501.00 	42311.00 	43947.00 	44258.00 	42092.00 	42057.00 	40718.00 	38524.00 	38370.00 	38351.00 	36740.00 	39031.00 	38456.00 	43462.00 	41386.00 	45150.00 	42179.00 	38781.00 	37094.00 	34790.00 	34898.00 	35681.00 	34594.00 	35568.00 	34458.00 	38490.00 	37097.00 	41424.00 	42734.00 	39839.00 	41093.00 	38477.00 	37812.00 	38239.00 	36700.00 	37070.00 	37376.00 	42293.00 	41191.00 	45905.00 	43332.00 	42451.00 	43463.00 	41910.00 	40603.00 	42058.00 	41216.00 	41890.00 	44500.00 	42685.00 	43957.00 	44608.00 
GWH,DK	: 	2977.52 	2721.34 	3090.64 	2990.94 	2793.59 	2535.51 	2394.46 	2498.59 	2335.57 	2440.26 	2559.75 	2657.36 	2956.75 	2943.86 	3225.93 	3437.57 	3117.59 	2993.07 	2699.10 	2633.62 	2525.07 	2597.50 	2775.77 	2830.97 	3168.27 	3223.60 	3475.31 	3185.98 	2832.33 	2630.25 	2341.44 	2606.12 	2296.19 	2527.50 	2593.34 	2596.19 	2985.24 	2999.73 	3121.02 	3205.72 	2875.24 	2720.76 	2653.03 	2599.08 	2475.73 	2474.44 	2667.80 	2593.21 	2938.91 	2766.00 	3188.21 	2992.11 	2954.01 	2816.63 	2536.56 	2554.50 	2474.44 	2522.18 	2567.58 	2594.22 	3159.24 	2912.31 	3167.29 	3064.96 	2964.06 	2858.36 	2613.58 	2601.94 	2386.24 	2491.30 	2599.85 	2605.77 	2927.11 	2823.32 	3148.50 	3116.00 	3050.00 	2868.00 	2625.00 	2649.00 	2459.00 	2602.00 	2608.00 	2713.00 	2976.00 	2990.00 	3325.00 	3102.00 	2952.00 	2888.00 	2658.00 	2647.00 	2508.00 	2542.00 	2618.00 	2646.00 	2971.00 	2863.00 	3200.00 	3114.00 	2880.00 	2837.00 	2606.00 	2628.00 	2525.00 	2558.00 	2622.00 	2637.00 	2929.00 	2845.00 	3290.00 	3049.00 	2943.00 	2853.00 	2612.00 	2634.00 	2536.00 	2542.00 	2657.00 	2765.00 	3161.00 	2944.00 	3343.00 	3248.00 	2992.00 	2930.00 	2639.00 	2660.00 	2452.00 	2566.00 	2653.00 	2694.00 	2980.00 	3153.00 	3264.00 	3152.00 	3014.00 	2911.00 	2752.00 	2748.00 	2527.00 	2553.00 	2728.00 	2653.00 	3158.00 	3077.00 	3407.00 	3545.00 	3180.00 	2960.00 	2749.00 	2683.00 	2572.00 	2655.00 	2740.00 	2723.00 	3198.00 	3111.00 	3506.00 	3287.00 	3051.00 	2973.00 	2709.00 	2685.00 	2526.00 	2638.00 	2656.00 	2668.00 	3135.00 	3046.00 	3414.00 	3307.00 	3189.00 	3093.00 	2848.00 	2820.00 	2654.00 	2752.00 	2830.00 	2932.00 	3190.00 	3149.00 	3430.00 
GWH,EE	: 	783.00 	735.90 	815.10 	829.88 	727.64 	674.64 	636.59 	623.05 	594.60 	612.47 	678.28 	735.60 	818.60 	757.17 	896.10 	962.87 	817.28 	724.43 	684.93 	626.32 	617.17 	610.20 	675.52 	721.30 	850.50 	849.60 	939.46 	890.31 	790.38 	751.66 	668.80 	634.40 	597.58 	583.07 	650.65 	676.98 	803.89 	787.28 	816.27 	784.00 	808.40 	722.36 	648.50 	626.00 	588.40 	584.37 	679.88 	691.80 	803.00 	765.00 	895.00 	851.90 	766.30 	718.00 	648.00 	753.00 	610.00 	695.00 	652.54 	697.50 	861.20 	828.00 	856.00 	810.00 	690.00 	740.10 	657.30 	624.00 	572.00 	583.00 	652.00 	699.00 	779.00 	754.00 	844.00 	797.00 	793.00 	709.00 	608.00 	614.00 	572.00 	565.00 	622.00 	672.00 	770.00 	746.00 	906.00 	752.00 	717.00 	718.00 	622.00 	618.00 	627.00 	593.00 	661.00 	701.00 	771.00 	746.00 	846.00 	813.00 	758.00 	720.00 	627.00 	608.00 	584.00 	579.00 	646.00 	681.00 	753.00 	764.00 	896.00 	790.00 	717.00 	707.00 	607.00 	605.00 	596.00 	610.00 	630.00 	726.00 	836.00 	765.00 	893.00 	891.00 	753.00 	711.00 	619.00 	574.00 	585.00 	587.00 	631.00 	696.00 	948.00 	874.00 	858.00 	762.00 	705.00 	660.00 	568.00 	553.00 	529.00 	530.00 	620.00 	674.00 	796.00 	788.00 	840.00 	864.00 	729.00 	683.00 	584.00 	541.00 	526.00 	524.00 	612.00 	655.00 	797.00 	948.00 	938.00 	836.00 	731.00 	694.00 	563.00 	528.00 	506.00 	502.00 	564.00 	643.00 	775.00 	765.00 	857.00 	832.00 	762.00 	718.00 	689.00 	616.00 	561.00 	569.00 	637.00 	704.00 	816.00 	775.00 	864.00 
