country,date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
Austria,2018 Q1,35.51244444,18039.52,82782.7,41729.4,34341.4,54564.4,47926.2,289369,265426,54474,495204,1793010,1.2292,7445.926,4737.904
Austria,2018 Q2,35.97846154,15321.24,85025.4,51218.7,42155.5,52136.4,50134.9,287411,263330,53275,478041,1839516,1.1915,4732.631,5121.24
Austria,2018 Q3,53.50836957,15393.62,85081.7,42128.7,34672.1,52731.8,51419.6,284135,260366,53210,483449,1765101,1.1629,7189.521,3671.768
Austria,2018 Q4,59.9125,17325.53,91377.1,50049.9,41210.3,54248.8,52639.5,290694,266580,56929,480868,1837258,1.1414,8708.058,5598.418
Austria,2019 Q1,45.00733333,17731.7,85679.9,43686.7,35987.6,57714,50948.8,293804,269580,58913,502792,1844865,1.1358,8117.793,6471.905
Austria,2019 Q2,36.76494505,15629.79,88025.4,53322.6,43974.6,53567.1,52410.9,289798,265732,56171,480913,1847807,1.1237,4620.402,6057.341
Austria,2019 Q3,38.60880435,15476.69,88282.3,43511.5,35893.8,54736.1,52093.8,285866,261459,56814,483941,1786491,1.1119,5776.733,5254.817
Austria,2019 Q4,39.92173913,17172.7,92947.2,52317.1,43172.7,55433.4,51586.2,293119,268484,60862,492941,1871345,1.1071,7531.919,5134.201
Austria,2020 Q1,31.51252747,17365.17,85083.6,44554.1,36743.5,54448.3,48521.6,286005,262393,55809,459726,1749832,1.1027,7789.199,5791.735
Austria,2020 Q2,20.75813187,14018.19,79614.7,52014.5,42906.7,41275.8,40863.6,251823,229571,51992,347701,1552414,1.1014,4856.806,5348.937
Austria,2020 Q3,37.86032609,15071.69,86924.4,43274.8,35706.1,49677.1,46334.1,274578,250430,52913,444064,1723670,1.1689,4727.75,5855.924
Austria,2020 Q4,42.29923913,17172.21,90371.4,52484.9,43318.7,51265.5,49508.6,282363,258250,55177,381672,1683263,1.1929,7148.737,5330.086
Bulgaria,2018 Q1,33.67577778,8690.78,9901,5658.8,4785.4,7849.6,8217,303670,263036,40399,379003,1393428,1.2292,840.1,1900.888
Bulgaria,2018 Q2,33.93956044,6404.16,11751.3,6050.3,5121.9,9016.9,8897.7,305551,266465,44238,398106,1516148,1.1915,440.286,2097.377
Bulgaria,2018 Q3,40.08684783,6914.86,13564.9,6231.4,5332.4,10835,9045.9,300369,262212,38509,389179,1477227,1.1629,417.821,3180.024
Bulgaria,2018 Q4,51.67086957,8368.71,13498.4,6723.6,5782.6,9235.8,9348.6,291090,253388,41583,371719,1404786,1.1414,524.598,2851.762
Bulgaria,2019 Q1,47.64888889,8783.46,11010.1,6156.1,5197.5,8788.6,8762,302150,261879,42048,386069,1396812,1.1358,733.345,2429.585
