date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,45.13444444444445,146637,485603.2,278628.1,202749.4,165155.6,169633.1,1144900,1026400,329800,2414000,10328000,1.1261,2970,15565
2015 Q2,32.64153846153846,103056,491662,284758.7,208054.1,171186.3,173067,1144700,1025600,333200,2443200,10409500,1.1053,2076,18232
2015 Q3,35.83391304347826,99048,483394.9,278675.9,202982.2,163940.5,166984.2,1146400,1026900,335900,2465800,10467900,1.1117,1647,20000
2015 Q4,40.581739130434784,124295,506807.2,299358.5,218900.5,172275.6,175326.6,1143800,1024500,338300,2445300,10414800,1.0953,2514,19736
2016 Q1,28.81032967032967,143797,495015.7,283431.8,206302,167350.3,171794.1,1140600,1021900,343900,2433200,10407700,1.102,4077,18378
2016 Q2,25.908571428571427,105827,502321.1,290611.4,213132.8,171412.4,172982.3,1141900,1022700,346900,2453000,10494500,1.1292,2761,18392
2016 Q3,32.28597826086956,98754,487438.6,283739.9,207478.8,162565.7,166876.7,1142300,1022900,347800,2483100,10563800,1.1166,4118,14549
2016 Q4,59.8025,133247,512015.3,305504.1,224017.7,174440.6,177633.8,1134100,1015700,345300,2463300,10492900,1.0789,8209,9708
2017 Q1,54.968555555555554,132553.67,503836,292067.4,213898.7,174622.1,186146.2,1120000,1003600,344000,2437500,10410200,1.0648,5962.746,15185.292
2017 Q2,33.91549450549451,96828.95000000001,510489,298994.7,219640.4,178667.4,182608.4,1121500,1005000,346400,2478700,10519200,1.1021,2611.712,17326.137000000002
2017 Q3,34.517826086956525,91713.48000000001,501916.2,292954.5,214536.6,171487.3,176833.1,1121100,1004300,347400,2508800,10580300,1.1746,3197.49,16918.338
2017 Q4,56.53336956521739,121924.15,529890,315824.6,231345.5,186188.2,189833.3,1117000,999900,350300,2490800,10523800,1.1774,8611.502,11424.408
2018 Q1,43.824555555555555,137020.18,517905.1,300615.8,220159.3,184064.5,191748.6,1117100,1000300,360800,2491400,10540200,1.2292,4619.92,18432.032
2018 Q2,36.75076923076923,95948.73,522883.3,307302.6,225484.8,187229.6,194661.3,1125300,1007600,367100,2525300,10669600,1.1915,1249.754,22737.978000000003
2018 Q3,57.23086956521739,92578.31,515872.9,300657.6,220043.9,181766.5,188012.4,1132500,1014500,369800,2555900,10744900,1.1629,2606.566,18827.956
2018 Q4,62.72315217391304,119000.62,545111.2,322956.5,237490.4,196430.5,198952.8,1138200,1020300,369800,2536200,10688100,1.1414,4349.855,16097.019
2019 Q1,47.22266666666667,131642.49,533632.9,304654.6,227744.6,193680.5,199706.4,1150700,1032000,369400,2546700,10713400,1.1358,4354.867,18005.763
2019 Q2,34.8743956043956,99130.9,542796.6,310119,232339.8,195882.1,201084.7,1162700,1042700,369500,2590200,10842500,1.1237,1620.4370000000001,20676.452999999998
2019 Q3,35.53467391304348,92247.98,535481.9,303629.2,227322,186030.7,193269.2,1166000,1045800,370700,2611700,10897700,1.1119,2766.348,18857.958
2019 Q4,40.28228260869565,118574.19,557360.9,324467.3,244363.7,194505.6,199375.7,1160900,1039300,372800,2573400,10806300,1.1071,6115.205,15353.875
2020 Q1,29.41912087912088,125475.05,520750.7,299864.6,224922.8,172295.1,183551.8,1120000,998900,370500,2437600,10417400,1.1027,2969.6949999999997,20228.542999999998
2020 Q2,18.00824175824176,86601.28,472902.2,274699.1,205263.3,131240.5,148913.9,910800,798200,329700,1760400,8714400,1.1014,2514.34,17920.528
2020 Q3,39.03695652173913,91052.41,522065.2,300586.2,224431.2,157585.6,171008.5,1106100,982200,368100,2455800,10515200,1.1689,7555.317999999999,10045.231
2020 Q4,42.167826086956524,116851.98000000001,553127.9,319940.4,239993.1,172289.8,179229.8,1108000,983900,372600,2203800,10232400,1.1929,5798.7880000000005,15858.794
2021 Q1,53.03277777777778,129451.97,537016.6,306719.7,229080.1,169876.9,182546.4,1123300,999400,380400,2175200,10269400,1.2048,7930.369,16553.207000000002
2021 Q2,63.894175824175825,98512.74,548207.2,316126.9,236494.6,182970.3,194522.2,1140000,1015400,392500,2311700,10562500,1.2058,4702.501,18916.514
2021 Q3,96.58923913043478,90822.16,551502.2,318447.9,238440.6,190629.9,197864.7,1168500,1043000,405600,2657800,11156700,1.1788,1843.0700000000002,22590.573
2021 Q4,221.47565217391303,121495.95000000001,581082.3,344322,259496,208034,223675.7,1172500,1046700,412100,2679900,11213100,1.1435,9179.714,10747.757
2022 Q1,232.3001111111111,128652.88,569755.2,334014.2,250543.7,213070.8,236772.5,1161300,1036800,417000,2653800,11092900,1.1217,10462.673999999999,10316.110999999999
2022 Q2,226.05340659340658,96084.68,587584.4,342053.1,257460.3,234173.1,251461.6,1170800,1045200,427100,2724300,11301100,1.0647,10684.503,9155.175
2022 Q3,429.5503260869565,91292.41,582264.7,337378.5,255287.7,235419.3,267103.1,1177800,1051600,432700,2754400,11384400,1.007,16070.875,6323.501
2022 Q4,214.08065217391305,106514.12000000001,621575.6,368124.5,278769.8,232742.7,262387.8,1179100,1052300,434600,2726900,11348700,1.0205,14551.903999999999,11308.758
2023 Q1,130.36166666666668,119267.37,613542.3,355665.5,268392.8,225603.7,249733.7,1175100,1049100,435900,2702700,11292500,1.073,11187.982,14829.979
